Sr,Scheme Name,"No. of Schemes as on April 30, 2021","No. of Folios as on April 30, 2021",Funds Mobilized for the month of April 2021 (INR in crore),Repurchase/ Redemption for the month of April 2021 (INR in crore),"Net Assets Under Management as on April 30, 2021 (INR in crore)",Average Net Assets Under Management for the month April 2021 (INR in crore),"No. of segregated portfolios created as on April 30, 2021","Net Assets Under Management in segregated portfolio as on April 30, 2021 (INR in crore)"
Monthly Report for the month of April 2021,,,,,,,,,(Rs. in Crore)
Sr,Scheme Name,"No. of Schemes as on April 30, 2021","No. of Folios as on April 30, 2021",Funds Mobilized for the month of April 2021 (INR in crore),Repurchase/ Redemption for the month of April 2021 (INR in crore),"Net Assets Under Management as on April 30, 2021 (INR in crore)",Average Net Assets Under Management for the month April 2021 (INR in crore),"No. of segregated portfolios created as on April 30, 2021","Net Assets Under Management in segregated portfolio as on April 30, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,25,483","2,36,895.02","2,18,402.94","89,727.38","91,267.45",-,-
ii,Liquid Fund,39,"21,76,989","2,52,669.62","2,11,162.15","3,79,465.50","3,93,985.42",-,-
iii,Ultra Short Duration Fund,27,"6,44,885","24,494.33","15,575.81","96,027.49","96,197.60",-,-
iv,Low Duration Fund,24,"11,74,999","31,210.41","21,888.36","1,38,670.63","1,33,133.75",2,11.92
v,Money Market Fund,18,"4,89,845","39,475.79","19,189.17","1,10,401.40","1,04,074.80",-,-
vi,Short Duration Fund,26,"6,40,697","7,197.07","5,950.55","1,42,607.64","1,41,062.97",1,11.24
vii,Medium Duration Fund,15,"2,84,745","1,249.57",909.93,"30,529.33","30,158.08",6,327.40
viii,Medium to Long Duration Fund,13,"1,24,084",329.13,229.84,"10,572.94","10,427.20",1,15.55
ix,Long Duration Fund,2,"29,376",33.45,27.01,"2,602.37","2,584.42",-,-
x,Dynamic Bond Fund,25,"2,62,088",377.76,"2,480.77","24,195.02","24,794.62",2,128.64
xi,Corporate Bond Fund,21,"7,20,080","6,175.69","8,056.05","1,59,433.22","1,59,712.82",-,-
xii,Credit Risk Fund,16,"2,87,615",326.91,484.27,"25,385.19","25,351.30",8,228.32
xiii,Banking and PSU Fund,22,"3,82,666","3,457.39","3,608.30","1,20,217.63","1,19,430.99",-,-
xiv,Gilt Fund,21,"2,10,495","2,301.24",654.13,"18,038.31","17,827.00",-,-
xv,Gilt Fund with 10 year constant duration,4,"56,276",30.41,52.70,"1,494.02","1,498.54",-,-
xvi,Floater Fund,10,"2,53,438","8,486.37","5,134.69","69,182.81","66,863.89",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),313,"78,63,761","6,14,710.15","5,13,806.67","14,18,550.89","14,18,370.85",20,723.07
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,10,"14,05,277",347.55,505.25,"19,846.35","19,738.07",-,-
ii,Large Cap Fund,32,"1,06,63,232","3,614.58","3,289.64","1,78,102.38","1,77,617.80",-,-
iii,Large & Mid Cap Fund,28,"50,87,349","1,795.53","1,087.68","77,948.66","76,694.26",-,-
iv,Mid Cap Fund,27,"67,71,333","2,906.38","1,948.22","1,18,825.34","1,16,825.19",-,-
v,Small Cap Fund,24,"51,30,378","1,711.16","1,527.19","72,796.60","70,777.40",-,-
vi,Dividend Yield Fund,7,"5,02,342",69.39,72.39,"6,802.73","6,752.16",-,-
vii,Value Fund/Contra Fund,18,"37,40,998",783.00,"1,456.77","61,305.28","61,008.82",-,-
viii,Focused Fund,25,"39,71,342","1,943.02","1,674.98","69,437.98","68,633.94",-,-
ix,Sectoral/Thematic Funds,107,"80,25,092","4,182.09","2,476.94","1,01,440.79","99,622.52",-,-
x,ELSS,42,"1,26,63,169","1,374.63","1,511.37","1,25,377.01","1,24,789.67",-,-
xi,Flexi Cap Fund,25,"84,44,409","3,349.77","3,089.30","1,59,479.51","1,58,484.39",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),345,"6,64,04,921","22,077.10","18,639.73","9,91,362.64","9,80,944.22",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"3,83,572",369.70,185.64,"13,179.69","13,016.60",2,42.97
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,34,"47,56,872","1,947.41","2,449.10","1,23,388.51","1,23,024.24",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,24,"28,74,582","3,196.67","1,496.35","1,09,394.19","1,09,808.80",-,-
iv,Multi Asset Allocation Fund,10,"7,20,915",325.31,299.61,"14,710.69","15,664.52",-,-
v,Arbitrage Fund,27,"5,12,165","10,907.56","3,662.41","81,386.95","85,965.56",-,-
vi,Equity Savings Fund,23,"2,89,439",225.21,237.44,"9,771.39","10,058.40",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),139,"95,37,545","16,971.85","8,330.53","3,51,831.42","3,57,538.13",6,78.11
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,29,585",156.37,122.96,"13,686.19","13,568.50",-,-
ii,Childrens Fund,10,"28,82,643",61.87,37.22,"10,903.30","10,800.52",-,-
,Sub Total - IV (i+ii),35,"55,12,228",218.24,160.19,"24,589.49","24,369.02",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,46,"10,92,882","1,969.61",802.06,"20,426.01","19,714.39",-,-
ii,GOLD ETF,11,"15,13,531",686.08,5.93,"15,628.66","15,192.17",-,-
iii,Other ETFs,93,"45,08,088","7,102.99","4,566.30","2,77,570.85","2,74,939.03",-,-
iv,Fund of funds investing overseas,35,"7,29,914",867.89,172.55,"13,989.15","13,440.85",-,-
,Sub Total - V (i+ii+iii+iv),185,"78,44,415","10,626.58","5,546.84","3,27,614.66","3,23,286.45",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,017","9,71,62,870","6,64,603.92","5,46,483.96","31,13,949.09","31,04,508.67",26,801.18
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,519,"3,46,196",93.97,"22,496.79","99,124.19","1,12,540.13",-,-
ii,Capital Protection Oriented Schemes,18,"37,904",-,740.84,"1,857.57","2,095.87",-,-
iii,Infrastructure Debt Fund,8,80,-,319.00,"1,944.23","1,930.00",-,-
iv,Other Debt Scheme,5,"16,022",-,96.28,637.06,697.72,-,-
,Sub Total (i+ii+iii+iv),550,"4,00,202",93.97,"23,652.91","1,03,563.05","1,17,263.72",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,25,"4,24,514",-,154.59,"4,571.41","4,589.15",-,-
ii,Other Equity Schemes,47,"5,77,727",0.004,"1,499.66","15,750.94","16,025.04",-,-
,Sub Total (i+ii),72,"10,02,241",0.004,"1,654.25","20,322.35","20,614.19",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,622,"14,02,443",93.97,"25,307.16","1,23,885.40","1,37,877.91",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,21,"3,396",0.01,0.34,150.59,150.56,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,21,"3,396",0.01,0.34,150.59,150.56,-,-
,,,,,,,,,
,Grand Total,"1,660","9,85,68,709","6,64,697.90","5,71,791.46","32,37,985.09","32,42,537.14",26,801.18
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  55,"11,94,449","1,417.18",429.80,"29,064.41","28,331.21",-,-
