Sr,Scheme Name,"No. of Schemesas on April 30, 2022","No. of Folios as on April 30, 2022",Funds Mobilized for the month of April 2022 (INR in crore),Repurchase/ Redemption for the month of April 2022 (INR in crore),"Net Assets Under Management as on April 30, 2022 (INR in crore)",Average Net Assets Under Management for the month April 2022 (INR in crore),"No. of segregated portfolios created as on April 30, 2022","Net Assets Under Management in segregated portfolio as on April 30, 2022 (INR in crore)"
Monthly Report for the month of April 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on April 30, 2022","No. of Folios as on April 30, 2022",Funds Mobilized for the month of April 2022 (INR in crore),Repurchase/ Redemption for the month of April 2022 (INR in crore),"Net Assets Under Management as on April 30, 2022 (INR in crore)",Average Net Assets Under Management for the month April 2022 (INR in crore),"No. of segregated portfolios created as on April 30, 2022","Net Assets Under Management in segregated portfolio as on April 30, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"5,65,194","3,58,918.94","3,54,790.88","1,07,527.71","1,15,814.35",-,-
ii,Liquid Fund,37,"17,51,319","2,81,205.29","2,52,474.30","3,75,793.29","4,01,172.36",-,-
iii,Ultra Short Duration Fund,27,"6,19,228","30,924.13","15,834.65","1,03,319.54","1,00,231.93",-,-
iv,Low Duration Fund,22,"10,45,333","16,269.20","14,777.29","1,14,526.51","1,17,328.88",1,-
v,Money Market Fund,20,"4,14,834","36,779.64","20,585.90","1,30,773.58","1,26,408.12",-,-
vi,Short Duration Fund,25,"5,69,283","3,895.00","8,347.00","1,11,444.94","1,15,062.03",-,-
vii,Medium Duration Fund,16,"2,78,064",399.46,"1,762.96","31,496.18","32,311.75",4,130.40
viii,Medium to Long Duration Fund,13,"1,14,730",151.95,561.72,"9,574.14","9,926.55",-,-
ix,Long Duration Fund,2,"24,307",52.07,25.42,"2,517.55","2,500.64",-,-
x,Dynamic Bond Fund,25,"2,30,463",265.69,462.38,"25,007.50","25,079.53",1,50.01
xi,Corporate Bond Fund,21,"6,55,144","3,595.13","6,147.90","1,27,297.16","1,28,001.90",-,-
xii,Credit Risk Fund,15,"2,69,097",289.47,572.59,"27,444.43","27,603.51",4,66.25
xiii,Banking and PSU Fund,22,"3,27,456",867.55,"3,963.83","90,239.97","91,967.19",-,-
xiv,Gilt Fund,21,"1,76,768",529.47,635.84,"15,031.90","15,202.20",-,-
xv,Gilt Fund with 10 year constant duration,4,"43,980",78.63,40.78,"1,281.13","1,258.64",-,-
xvi,Floater Fund,12,"2,58,609","9,385.01","7,866.59","82,301.20","81,439.28",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),312,"73,43,809","7,43,606.63","6,88,850.02","13,55,576.72","13,91,308.85",10,246.66
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"31,96,257","1,864.26",523.90,"55,626.81","56,094.19",-,-
ii,Large Cap Fund,31,"1,25,33,497","3,875.20","2,616.24","2,23,072.25","2,27,595.61",-,-
iii,Large & Mid Cap Fund,27,"68,45,348","3,011.66",962.14,"1,10,943.13","1,11,948.34",-,-
iv,Mid Cap Fund,26,"88,54,201","3,125.14","1,575.45","1,62,311.32","1,63,298.43",-,-
v,Small Cap Fund,24,"81,00,585","3,063.63","1,346.95","1,09,704.62","1,10,550.86",-,-
vi,Dividend Yield Fund,8,"5,72,644",179.25,85.19,"9,768.91","9,953.70",-,-
vii,Value Fund/Contra Fund,22,"40,61,202","1,447.57",703.20,"79,447.27","80,512.45",-,-
viii,Focused Fund,26,"51,17,009","2,212.17",934.51,"96,174.99","97,994.65",-,-
ix,Sectoral/Thematic Funds,118,"1,21,47,243","7,658.58","3,815.07","1,49,571.13","1,50,618.40",-,-
x,ELSS,39,"1,40,05,645","1,787.74","1,480.92","1,46,077.96","1,49,026.61",-,-
xi,Flexi Cap Fund,31,"1,17,91,520","4,391.54","2,682.80","2,23,532.00","2,27,847.39",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,72,25,151","32,616.75","16,726.37","13,66,230.39","13,85,440.62",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,06,641",652.90,351.76,"21,334.06","21,237.75",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"50,76,631","2,603.71","1,902.32","1,47,615.67","1,49,856.07",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"42,73,085","3,935.05","2,392.05","1,80,129.26","1,82,157.55",-,-
iv,Multi Asset Allocation Fund,10,"8,04,549",486.61,276.59,"19,830.07","21,140.74",-,-
v,Arbitrage Fund,25,"5,00,467","10,585.04","6,492.24","99,049.17","1,11,752.82",-,-
vi,Equity Savings Fund,22,"3,58,128",958.93,567.08,"17,042.66","17,412.17",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),135,"1,15,19,501","19,222.24","11,982.05","4,85,000.89","5,03,557.10",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,88,576",172.00,109.27,"16,342.72","16,536.42",-,-
ii,Childrens Fund,10,"28,95,835",90.00,40.79,"13,019.21","13,183.29",-,-
,Sub Total - IV (i+ii),35,"55,84,411",262.00,150.06,"29,361.93","29,719.71",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,94,"25,46,000","7,190.77","1,128.91","73,994.02","70,977.74",-,-
ii,GOLD ETF,11,"43,62,502","1,127.10",26.73,"20,430.07","20,265.19",-,-
iii,Other ETFs,124,"1,08,82,436","12,652.65","3,989.85","4,12,858.85","4,15,637.41",-,-
iv,Fund of funds investing overseas,46,"12,55,645",366.22,303.51,"20,540.76","21,557.65",-,-
,Sub Total - V (i+ii+iii+iv),275,"1,90,46,583","21,336.75","5,449.01","5,27,823.70","5,28,437.99",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,123","13,07,19,455","8,17,044.37","7,23,157.51","37,63,993.62","38,38,464.28",15,281.80
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,181,"1,33,058",-,"20,326.62","27,997.70","38,271.22",-,-
ii,Capital Protection Oriented Schemes,11,"23,149",-,270.92,"1,347.62","1,471.51",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,016.20","2,007.42",-,-
iv,Other Debt Scheme,-,-,-,60.60,-,54.70,-,-
,Sub Total (i+ii+iii+iv),200,"1,56,287",-,"20,658.14","31,361.52","41,804.85",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,11,781",-,24.74,"3,654.21","3,742.24",-,-
