Sr,Scheme Name,"No. of Schemesas on April 30, 2023","No. of Folios as on April 30, 2023",Funds Mobilized for the month of April 2023 (INR in crore),Repurchase/ Redemption for the month of April 2023 (INR in crore),"Net Assets Under Management as on April 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month April 2023 (INR in crore),"No. of segregat ed portfolios created as on April 30, 2023","Net Assets Under Management in segregated portfolio as on April 30, 2023 (INR in crore)"
Monthly Report for the month of April 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on April 30, 2023","No. of Folios as on April 30, 2023",Funds Mobilized for the month of April 2023 (INR in crore),Repurchase/ Redemption for the month of April 2023 (INR in crore),"Net Assets Under Management as on April 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month April 2023 (INR in crore),"No. of segregat ed portfolios created as on April 30, 2023","Net Assets Under Management in segregated portfolio as on April 30, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,59,479","3,77,180.36","3,71,073.01","1,02,344.65","1,15,719.43",-,-
ii,Liquid Fund,36,"17,75,399","3,12,871.77","2,49,652.44","3,97,785.67","4,26,709.75",-,-
iii,Ultra Short Duration Fund,25,"6,32,337","21,919.19","11,256.59","90,295.37","87,453.31",-,-
iv,Low Duration Fund,21,"9,35,894","11,249.14","5,785.89","92,765.19","89,949.11",1,-
v,Money Market Fund,22,"4,22,740","31,153.73","17,192.77","1,22,783.89","1,19,131.92",-,-
vi,Short Duration Fund,25,"5,04,524","3,348.54","1,565.73","94,187.95","93,213.23",-,-
vii,Medium Duration Fund,15,"2,55,984",514.18,508.53,"27,387.95","27,268.21",3,-
viii,Medium to Long Duration Fund,12,"1,06,795",665.13,66.86,"9,610.30","9,269.27",-,-
ix,Long Duration Fund,7,"46,138",123.73,54.04,"9,037.48","8,905.11",-,-
x,Dynamic Bond Fund,22,"2,30,966",595.06,233.07,"30,010.05","29,724.85",-,-
xi,Corporate Bond Fund,21,"6,13,934","2,900.41","2,848.13","1,32,770.87","1,32,173.39",-,-
xii,Credit Risk Fund,15,"2,43,984",85.35,441.46,"24,687.65","24,783.33",3,-
xiii,Banking and PSU Fund,23,"2,95,048","1,033.04","1,182.55","81,129.06","80,713.59",-,-
xiv,Gilt Fund,22,"1,77,311",690.50,255.99,"22,170.54","21,906.46",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,343",582.91,29.35,"4,380.60","4,188.67",-,-
xvi,Floater Fund,13,"2,34,702","5,741.67","1,830.91","57,358.85","55,050.01",-,-
