Sr,Scheme Name,"No. of Schemes as on August 31, 2021","No. of Folios as on August 31, 2021",Funds Mobilized for the month of August 2021 (INR in crore),Repurchase/ Redemption for the month of August 2021 (INR in crore),"Net Assets Under Management as on August 31, 2021 (INR in crore)",Average Net Assets Under Management for the month August 2021 (INR in crore),"No. of segregated portfolios created as on August 31, 2021","Net Assets Under Management in segregated portfolio as on August 31, 2021 (INR in crore)"
Monthly Report for the month of August 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on August 31, 2021","No. of Folios as on August 31, 2021",Funds Mobilized for the month of August 2021 (INR in crore),Repurchase/ Redemption for the month of August 2021 (INR in crore),"Net Assets Under Management as on August 31, 2021 (INR in crore)",Average Net Assets Under Management for the month August 2021 (INR in crore),"No. of segregated portfolios created as on August 31, 2021","Net Assets Under Management in segregated portfolio as on August 31, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,25,333","3,18,023.85","3,29,831.52","77,725.65","94,972.18",-,-
ii,Liquid Fund,39,"21,26,963","2,51,154.44","2,51,868.54","3,71,245.71","3,76,230.66",-,-
iii,Ultra Short Duration Fund,28,"6,46,637","18,151.79","16,262.00","1,06,445.19","1,05,170.31",-,-
iv,Low Duration Fund,24,"11,48,104","16,305.50","23,713.18","1,56,106.63","1,60,247.54",2,11.92
v,Money Market Fund,20,"4,84,192","28,933.58","26,885.32","1,25,210.10","1,24,083.37",-,-
vi,Short Duration Fund,27,"6,37,336","8,676.99","8,263.52","1,42,038.34","1,40,426.63",1,11.24
vii,Medium Duration Fund,16,"2,98,702","1,022.55",826.63,"32,647.04","32,390.82",6,327.66
viii,Medium to Long Duration Fund,13,"1,21,294","1,496.33",270.57,"11,544.69","10,589.27",1,16.13
ix,Long Duration Fund,2,"26,599",59.48,40.10,"2,583.22","2,549.06",-,-
x,Dynamic Bond Fund,26,"2,51,937","1,495.17",808.42,"25,470.96","25,136.85",2,128.88
xi,Corporate Bond Fund,20,"7,21,319","10,307.97","7,243.02","1,61,378.22","1,58,475.71",-,-
xii,Credit Risk Fund,16,"2,84,978",553.91,451.04,"27,055.00","26,901.21",8,230.81
xiii,Banking and PSU Fund,22,"3,67,750","4,649.83","3,629.19","1,22,246.25","1,21,143.65",-,-
xiv,Gilt Fund,21,"1,93,775","1,056.64",739.47,"16,743.25","16,362.42",-,-
xv,Gilt Fund with 10 year constant duration,4,"50,204",100.94,72.78,"1,499.58","1,472.06",-,-
xvi,Floater Fund,12,"2,69,606","17,076.59","7,085.81","94,751.37","89,676.68",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),320,"77,54,729","6,79,065.55","6,77,991.11","14,74,691.23","14,85,828.43",20,726.64
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,11,"16,39,812",636.09,653.63,"26,790.79","25,957.23",-,-
ii,Large Cap Fund,33,"1,11,87,236","3,723.66","3,802.29","2,12,473.34","2,05,073.09",-,-
iii,Large & Mid Cap Fund,28,"55,48,081","2,492.32","2,041.38","96,660.05","93,857.97",-,-
iv,Mid Cap Fund,27,"74,92,165","3,200.71","3,038.77","1,46,626.85","1,42,798.12",-,-
v,Small Cap Fund,25,"61,65,044","2,535.34","2,698.05","93,677.04","92,454.20",-,-
vi,Dividend Yield Fund,8,"5,40,076",125.32,119.84,"9,164.22","8,903.14",-,-
vii,Value Fund/Contra Fund,19,"38,22,234",980.63,"1,594.00","73,612.85","71,999.33",-,-
viii,Focused Fund,27,"44,25,952","4,535.85","1,463.08","89,403.66","83,676.13",-,-
ix,Sectoral/Thematic Funds,111,"94,53,800","5,615.70","3,730.45","1,31,122.23","1,26,731.63",-,-
