Sr,Scheme Name,"No. of Schemesas on August 31, 2022","No. of Folios as on August 31, 2022",Funds Mobilized for the month of August 2022 (INR in crore),Repurchase/ Redemption for the month of August 2022 (INR in crore),"Net Assets Under Management as on August 31, 2022 (INR in crore)",Average Net Assets Under Management for the month August 2022 (INR in crore),"No. of segregated portfolios created as on August 31, 2022","Net Assets Under Management in segregated portfolio as on August 31, 2022 (INR in crore)"
Monthly Report for the month of August 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on August 31, 2022","No. of Folios as on August 31, 2022",Funds Mobilized for the month of August 2022 (INR in crore),Repurchase/ Redemption for the month of August 2022 (INR in crore),"Net Assets Under Management as on August 31, 2022 (INR in crore)",Average Net Assets Under Management for the month August 2022 (INR in crore),"No. of segregated portfolios created as on August 31, 2022","Net Assets Under Management in segregated portfolio as on August 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,08,994","4,21,677.17","4,38,082.30","1,06,254.59","1,43,593.77",-,-
ii,Liquid Fund,37,"17,52,790","3,33,449.62","2,83,353.80","4,11,291.99","4,21,076.44",-,-
iii,Ultra Short Duration Fund,26,"6,20,888","21,135.38","14,762.97","97,575.87","94,831.89",-,-
iv,Low Duration Fund,22,"9,95,936","11,408.22","8,444.11","1,02,931.84","1,01,662.55",1,-
v,Money Market Fund,22,"4,17,852","25,646.23","19,717.45","1,18,232.40","1,14,710.45",-,-
vi,Short Duration Fund,26,"5,35,625","6,814.83","4,225.18","98,862.56","96,811.39",-,-
vii,Medium Duration Fund,16,"2,62,892",494.93,596.82,"28,969.60","28,878.59",4,130.59
viii,Medium to Long Duration Fund,13,"1,12,528",81.11,141.03,"9,081.81","9,044.05",-,-
ix,Long Duration Fund,3,"26,037",147.14,49.97,"2,732.89","2,661.74",-,-
x,Dynamic Bond Fund,25,"2,22,528","1,263.24",364.59,"22,991.71","22,640.85",1,50.08
xi,Corporate Bond Fund,21,"6,29,857","3,322.28","2,649.58","1,15,412.21","1,14,685.93",-,-
xii,Credit Risk Fund,15,"2,60,902",300.02,388.36,"26,297.90","26,258.41",4,66.37
xiii,Banking and PSU Fund,23,"3,17,833","1,950.03","3,330.25","81,787.11","81,975.21",-,-
xiv,Gilt Fund,22,"1,72,746",652.28,283.60,"15,674.65","15,489.75",-,-
xv,Gilt Fund with 10 year constant duration,5,"44,501",160.22,662.92,"1,511.53","1,470.32",-,-
xvi,Floater Fund,12,"2,51,047","1,934.53","4,220.04","63,624.97","64,362.21",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),320,"72,32,956","8,30,437.25","7,81,272.96","13,03,233.66","13,40,153.55",10,247.04
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"35,16,764","1,346.85",954.20,"62,108.53","60,938.09",-,-
ii,Large Cap Fund,31,"1,28,32,758","3,621.52","3,577.93","2,40,308.23","2,37,993.98",-,-
iii,Large & Mid Cap Fund,27,"72,58,212","2,437.93","1,406.96","1,22,862.47","1,20,902.06",-,-
iv,Mid Cap Fund,27,"94,20,335","3,716.62","2,237.21","1,78,094.34","1,74,220.03",-,-
v,Small Cap Fund,24,"88,89,305","2,759.76","1,499.78","1,20,464.00","1,17,225.51",-,-
vi,Dividend Yield Fund,8,"5,88,848",136.62,166.58,"10,172.05","10,123.99",-,-
vii,Value Fund/Contra Fund,22,"42,52,900","1,228.84",874.35,"85,681.59","84,301.04",-,-
viii,Focused Fund,27,"53,10,404","2,333.52","1,447.36","1,04,348.35","1,03,088.31",-,-
ix,Sectoral/Thematic Funds,118,"1,24,55,739","3,022.12","4,288.79","1,57,811.81","1,57,053.66",-,-
x,ELSS,39,"1,42,94,155","1,433.39","1,564.45","1,53,608.45","1,51,726.90",-,-
xi,Flexi Cap Fund,33,"1,22,85,444","5,808.55","3,708.57","2,42,438.49","2,38,963.24",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),370,"9,11,04,864","27,845.75","21,726.17","14,77,898.31","14,56,536.80",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,15,506",535.56,334.51,"22,279.69","22,045.68",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,18,497","2,756.33","2,011.42","1,55,900.46","1,54,496.02",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,26,"44,14,372","3,941.30","3,090.39","1,92,369.27","1,91,700.03",-,-
iv,Multi Asset Allocation Fund,9,"8,34,709",432.04,305.32,"21,081.59","22,030.17",-,-
v,Arbitrage Fund,26,"4,94,632","3,558.74","12,106.82","81,384.53","99,090.33",-,-
vi,Equity Savings Fund,22,"3,66,286",584.19,561.25,"17,358.68","17,874.79",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),136,"1,18,44,002","11,808.15","18,409.72","4,90,374.22","5,07,237.02",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"27,04,817",179.26,138.04,"17,407.58","17,169.93",-,-
ii,Childrens Fund,10,"29,03,665",100.80,49.48,"13,849.90","13,697.18",-,-
,Sub Total - IV (i+ii),35,"56,08,482",280.06,187.52,"31,257.48","30,867.10",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,102,"28,29,331","9,766.37","1,978.13","1,04,742.43","1,00,434.79",-,-
ii,GOLD ETF,11,"46,09,726",149.62,187.75,"19,832.10","19,967.38",-,-
iii,Other ETFs,136,"1,14,93,468","12,421.72","5,005.26","4,59,208.03","4,51,379.61",-,-
