Sr,Scheme Name,"No. of Schemesas on August 31, 2023","No. of Folios as on August 31, 2023",Funds Mobilized for the month of August 2023 (INR in crore),Repurchase/ Redemption for the month of August 2023 (INR in crore),"Net Assets Under Management as on August 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month August 2023 (INR in crore),"No. of segregat ed portfolios created as on August 31, 2023","Net Assets Under Management in segregated portfolio as on August 31, 2023 (INR in crore)"
Monthly Report for the month of August 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on August 31, 2023","No. of Folios as on August 31, 2023",Funds Mobilized for the month of August 2023 (INR in crore),Repurchase/ Redemption for the month of August 2023 (INR in crore),"Net Assets Under Management as on August 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month August 2023 (INR in crore),"No. of segregat ed portfolios created as on August 31, 2023","Net Assets Under Management in segregated portfolio as on August 31, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,34,"7,62,912","4,67,846.94","4,64,688.57","82,759.91","1,04,662.65",-,-
ii,Liquid Fund,36,"17,97,419","3,26,847.58","3,53,671.26","4,50,016.90","4,80,164.12",-,-
iii,Ultra Short Duration Fund,24,"6,45,997","14,148.26","18,271.49","97,045.68","99,836.15",-,-
iv,Low Duration Fund,21,"9,29,069","11,649.05","12,156.83","1,06,821.82","1,07,551.81",1,-
v,Money Market Fund,23,"4,34,688","32,521.15","32,429.66","1,50,533.53","1,51,951.68",-,-
vi,Short Duration Fund,24,"4,94,329","3,691.13","4,183.93","99,453.08","99,145.35",-,-
vii,Medium Duration Fund,15,"2,50,419",244.66,445.19,"27,354.46","27,379.83",3,-
viii,Medium to Long Duration Fund,12,"1,05,893",92.04,243.28,"10,166.20","10,249.47",-,-
ix,Long Duration Fund,7,"47,453",228.13,47.73,"9,570.95","9,440.69",-,-
x,Dynamic Bond Fund,22,"2,30,149",786.69,651.70,"30,722.06","30,479.19",-,-
xi,Corporate Bond Fund,21,"6,06,872","4,126.08","2,370.64","1,39,506.41","1,37,496.09",-,-
xii,Credit Risk Fund,14,"2,30,733",91.98,362.73,"24,146.22","24,203.73",3,-
xiii,Banking and PSU Fund,23,"2,81,393",663.45,"1,648.11","80,387.62","80,471.08",-,-
xiv,Gilt Fund,22,"1,81,526",643.99,388.96,"23,664.51","23,491.66",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,330",87.13,305.29,"4,028.93","4,236.76",-,-
xvi,Floater Fund,13,"2,29,032","5,077.70","2,753.09","63,406.37","62,516.33",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316,"72,69,214","8,68,745.94","8,94,618.44","13,99,584.65","14,53,276.60",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,21,"46,66,295","4,544.51","1,122.37","90,065.33","86,591.83",-,-
ii,Large Cap Fund,30,"1,30,04,992","3,633.49","3,982.47","2,62,299.28","2,62,556.79",-,-
iii,Large & Mid Cap Fund,26,"81,92,387","3,829.53","1,716.37","1,59,363.07","1,56,286.86",-,-
iv,Mid Cap Fund,29,"1,16,25,895","5,282.68","2,770.34","2,39,462.22","2,31,993.43",-,-
v,Small Cap Fund,24,"1,38,46,150","6,734.90","2,470.08","1,94,020.17","1,85,823.78",-,-
vi,Dividend Yield Fund,9,"7,75,683",586.53,170.23,"17,732.42","17,435.86",-,-
vii,Value Fund/Contra Fund,23,"51,83,298","2,342.17",977.55,"1,12,731.06","1,11,174.52",-,-
viii,Focused Fund,27,"51,81,471","1,675.21","2,146.31","1,11,637.01","1,11,288.87",-,-
ix,Sectoral/Thematic Funds,136,"1,39,26,575","8,336.77","3,530.96","2,12,650.64","2,07,582.76",-,-
x,ELSS,42,"1,53,81,023","1,766.34","1,793.03","1,76,213.88","1,75,092.61",-,-
xi,Flexi Cap Fund,36,"1,30,00,422","6,090.39","3,897.53","2,83,765.41","2,80,250.68",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),403,"10,47,84,191","44,822.51","24,577.26","18,59,940.50","18,26,077.99",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,28,375",743.38,476.16,"25,082.38","24,780.66",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,30,"53,16,778","2,745.34","2,138.01","1,71,832.59","1,71,147.83",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,20,241","6,793.94","3,177.93","2,09,563.08","2,08,285.38",-,-
iv,Multi Asset Allocation Fund,13,"12,19,116","2,082.07",464.74,"35,288.31","36,097.49",-,-
v,Arbitrage Fund,26,"4,42,592","16,390.06","6,907.41","98,939.38","1,10,690.40",-,-
vi,Equity Savings Fund,22,"3,71,658","2,104.19",613.05,"20,516.57","20,125.46",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),140,"1,21,98,760","30,858.99","13,777.30","5,61,222.30","5,71,127.23",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,91,050",313.88,189.49,"21,266.35","21,011.59",-,-
ii,Childrens Fund,10,"29,40,947",130.65,64.14,"16,525.25","16,388.69",-,-
,Sub Total - IV (i+ii),36,"57,31,997",444.52,253.62,"37,791.59","37,400.28",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,189,"51,13,123","3,753.19","1,767.51","1,80,749.63","1,79,561.68",-,-
ii,GOLD ETF,13,"47,95,268","1,050.28",22.23,"24,318.09","23,701.99",-,-
iii,Other ETFs,169,"1,23,34,415","10,229.63","8,336.76","5,46,424.21","5,47,863.92",-,-
iv,Fund of funds investing overseas,50,"13,82,783",268.41,639.83,"23,548.65","23,344.74",-,-
,Sub Total - V (i+ii+iii+iv),421,"2,36,25,589","15,301.51","10,766.33","7,75,040.58","7,74,472.34",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,316","15,36,09,751","9,60,173.48","9,43,992.95","46,33,579.62","46,62,354.44",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"1,12,076",188.01,"1,703.83","18,018.46","19,418.59",-,-
ii,Capital Protection Oriented Schemes,-,-,-,43.25,-,8.37,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,207.58","2,201.10",-,-
iv,Other Debt Scheme,1,"2,24,580",115.18,301.04,"5,290.15","5,281.32",-,-
,Sub Total (i+ii+iii+iv),95,"3,36,708",303.19,"2,048.12","25,516.19","26,909.38",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,88,784",-,27.89,"3,776.63","3,766.14",-,-
ii,Other Equity Schemes,3,"3,635",-,84.07,316.39,350.17,-,-
,Sub Total (i+ii),22,"2,92,419",-,111.96,"4,093.02","4,116.31",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,117,"6,29,127",303.19,"2,160.08","29,609.21","31,025.68",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,699",95.96,33.67,291.35,267.79,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,699",95.96,33.67,291.35,267.79,-,-
,,,,,,,,,
,Grand Total,"1,445","15,42,41,577","9,60,572.63","9,46,186.70","46,63,480.18","46,93,647.92",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,76,"18,94,366",774.64,832.94,"69,237.59","68,918.46",-,-
