Sr,Scheme Name,"No. of Schemes as on December 31, 2021","No. of Folios as on December 31, 2021",Funds Mobilized for the month of December 2021 (INR in crore),Repurchase/ Redemption for the month of December 2021 (INR in crore),"Net Assets Under Management as on December 31, 2021 (INR in crore)",Average Net Assets Under Management for the month December 2021 (INR in crore),"No. of segregated portfolios created as on December 31, 2021","Net Assets Under Management in segregated portfolio as on December 31, 2021 (INR in crore)"
Monthly Report for the month of December 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on December 31, 2021","No. of Folios as on December 31, 2021",Funds Mobilized for the month of December 2021 (INR in crore),Repurchase/ Redemption for the month of December 2021 (INR in crore),"Net Assets Under Management as on December 31, 2021 (INR in crore)",Average Net Assets Under Management for the month December 2021 (INR in crore),"No. of segregated portfolios created as on December 31, 2021","Net Assets Under Management in segregated portfolio as on December 31, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"3,07,669","4,53,336.11","4,48,605.13","94,138.69","1,10,033.81",-,-
ii,Liquid Fund,38,"20,08,348","2,97,331.83","3,06,016.83","3,61,368.52","3,64,938.09",-,-
iii,Ultra Short Duration Fund,27,"6,34,934","17,892.33","26,206.97","88,197.72","93,776.42",-,-
iv,Low Duration Fund,23,"11,07,690","12,169.77","23,216.73","1,27,483.98","1,31,558.92",2,14.93
v,Money Market Fund,20,"4,32,609","26,743.67","33,772.24","1,14,413.94","1,17,975.78",-,-
vi,Short Duration Fund,26,"6,08,859","8,310.72","10,343.16","1,38,922.13","1,40,576.30",1,11.97
vii,Medium Duration Fund,16,"2,94,246",625.41,"1,185.36","35,389.95","35,636.67",6,328.55
viii,Medium to Long Duration Fund,13,"1,19,032",740.04,805.77,"14,050.05","14,049.70",1,16.71
ix,Long Duration Fund,2,"25,400",14.44,22.00,"2,591.56","2,610.24",-,-
x,Dynamic Bond Fund,26,"2,44,904","1,630.89",591.64,"28,328.08","27,967.62",2,129.11
xi,Corporate Bond Fund,21,"6,92,249","3,734.49","8,040.09","1,51,915.81","1,54,251.54",-,-
xii,Credit Risk Fund,16,"2,79,738",410.72,457.93,"28,365.22","28,384.70",8,233.27
xiii,Banking and PSU Fund,22,"3,49,368","1,375.49","7,592.62","1,06,915.11","1,10,885.77",-,-
xiv,Gilt Fund,21,"1,86,979",384.15,421.88,"16,488.19","16,588.79",-,-
xv,Gilt Fund with 10 year constant duration,4,"47,962",55.59,54.66,"1,409.10","1,406.14",-,-
xvi,Floater Fund,12,"2,81,881","5,553.54","12,013.73","94,865.99","98,242.28",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),317,"76,21,868","8,30,309.21","8,79,346.72","14,04,844.02","14,48,882.79",20,734.54
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"24,42,973","10,926.70",350.19,"42,860.00","38,068.35",-,-
ii,Large Cap Fund,32,"1,19,78,081","4,385.36","2,857.53","2,21,834.82","2,18,002.67",-,-
iii,Large & Mid Cap Fund,27,"61,05,449","2,718.23","1,071.90","1,04,376.32","1,02,238.56",-,-
iv,Mid Cap Fund,27,"81,65,660","3,413.38","1,734.13","1,58,135.64","1,55,442.80",-,-
v,Small Cap Fund,24,"70,35,809","2,800.33","1,776.04","1,05,880.34","1,02,632.53",-,-
vi,Dividend Yield Fund,8,"5,52,391",158.47,117.67,"9,659.98","9,478.22",-,-
vii,Value Fund/Contra Fund,22,"39,34,965","1,131.03",801.14,"77,274.13","76,018.43",-,-
viii,Focused Fund,26,"47,38,365","2,659.67","1,147.44","95,285.14","94,760.23",-,-
ix,Sectoral/Thematic Funds,117,"1,10,23,820","7,573.25","3,803.49","1,46,657.68","1,43,842.91",-,-
x,ELSS,41,"1,32,44,120","1,893.33","1,326.29","1,49,336.16","1,47,576.53",-,-
xi,Flexi Cap Fund,28,"1,09,85,374","5,145.26","2,736.62","2,22,318.67","2,18,322.51",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,02,07,007","42,805.00","17,722.45","13,33,618.89","13,06,383.74",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"4,91,232",730.96,426.14,"19,977.85","19,437.34",2,46.18
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,33,"49,58,969","2,547.75","2,042.39","1,45,170.69","1,43,947.13",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,26,"40,52,345","6,074.70","2,369.06","1,69,739.59","1,69,340.53",-,-
iv,Multi Asset Allocation Fund,10,"7,68,343",471.00,353.47,"18,586.45","19,351.94",-,-
v,Arbitrage Fund,25,"5,08,695","7,096.21","11,398.17","1,00,777.38","1,15,928.81",-,-
vi,Equity Savings Fund,22,"3,38,872",968.85,736.85,"16,188.27","16,764.98",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),137,"1,11,18,456","17,889.48","17,326.09","4,70,440.23","4,84,770.73",6,81.32
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,66,506",207.49,111.07,"16,444.20","16,278.56",-,-
ii,Childrens Fund,10,"28,85,806",103.58,49.25,"13,090.88","12,985.81",-,-
,Sub Total - IV (i+ii),35,"55,52,312",311.07,160.32,"29,535.08","29,264.37",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,62,"20,53,599","5,288.97",773.39,"45,429.96","42,879.31",-,-
ii,GOLD ETF,11,"32,09,311",489.98,176.63,"18,405.31","18,115.34",-,-
iii,Other ETFs,111,"85,54,194","16,334.17","2,783.41","3,84,214.16","3,75,358.25",-,-
iv,Fund of funds investing overseas,41,"11,78,048",823.81,497.79,"24,129.75","23,994.19",-,-
,Sub Total - V (i+ii+iii+iv),225,"1,49,95,152","22,936.93","4,231.22","4,72,179.19","4,60,347.09",-,-
,,,,,,,,,
