Sr,Scheme Name,"No. of Schemesas on December 31, 2022","No. of Folios as on December 31, 2022",Funds Mobilized for the month of December 2022 (INR in crore),Repurchase/ Redemption for the month of December 2022 (INR in crore),"Net Assets Under Management as on December 31, 2022 (INR in crore)",Average Net Assets Under Management for the month December 2022 (INR in crore),"No. of segregated portfolios created as on December 31, 2022","Net Assets Under Management in segregated portfolio as on December 31, 2022 (INR in crore)"
Monthly Report for the month of December 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on December 31, 2022","No. of Folios as on December 31, 2022",Funds Mobilized for the month of December 2022 (INR in crore),Repurchase/ Redemption for the month of December 2022 (INR in crore),"Net Assets Under Management as on December 31, 2022 (INR in crore)",Average Net Assets Under Management for the month December 2022 (INR in crore),"No. of segregated portfolios created as on December 31, 2022","Net Assets Under Management in segregated portfolio as on December 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,20,274","4,29,847.81","4,31,101.80","1,02,637.18","1,13,957.09",-,-
ii,Liquid Fund,36,"17,81,537","3,51,016.20","3,64,868.20","3,98,344.68","4,40,562.30",-,-
iii,Ultra Short Duration Fund,25,"6,42,187","15,644.78","13,907.77","88,563.45","86,703.95",-,-
iv,Low Duration Fund,21,"9,73,985","6,920.36","7,323.68","93,993.26","94,310.26",1,-
v,Money Market Fund,22,"4,27,888","25,407.95","26,323.94","1,11,182.22","1,10,490.80",-,-
vi,Short Duration Fund,25,"5,17,483","3,891.16","4,674.37","93,742.77","94,936.94",-,-
vii,Medium Duration Fund,15,"2,53,843",384.51,"2,184.79","26,075.67","26,878.23",3,-
viii,Medium to Long Duration Fund,12,"1,06,888",65.64,135.33,"8,822.11","8,847.85",-,-
ix,Long Duration Fund,5,"31,675",337.36,13.01,"3,458.44","3,275.36",-,-
x,Dynamic Bond Fund,22,"2,17,883",615.27,960.88,"22,689.03","22,947.42",-,-
xi,Corporate Bond Fund,20,"6,16,661","2,604.49","3,317.52","1,15,652.11","1,16,095.72",-,-
xii,Credit Risk Fund,15,"2,51,057",284.89,560.86,"25,352.03","25,460.98",3,-
xiii,Banking and PSU Fund,23,"3,03,474",652.81,"2,005.53","74,252.25","74,772.95",-,-
xiv,Gilt Fund,22,"1,69,867",433.40,434.76,"16,318.62","16,196.12",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,357",55.40,56.54,"1,591.96","1,593.70",-,-
xvi,Floater Fund,12,"2,45,907","1,547.95","3,787.73","58,866.94","60,197.02",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),312,"72,02,966","8,39,709.97","8,61,656.70","12,41,542.70","12,97,226.70",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,16,"38,12,088","1,951.77","1,275.63","65,730.95","66,141.46",-,-
ii,Large Cap Fund,31,"1,28,95,270","3,602.80","3,629.17","2,42,847.43","2,46,296.72",-,-
iii,Large & Mid Cap Fund,26,"75,67,749","2,773.61","1,584.11","1,27,753.26","1,28,966.10",-,-
iv,Mid Cap Fund,29,"1,01,78,944","4,488.27","2,526.00","1,84,723.17","1,86,407.36",-,-
v,Small Cap Fund,24,"1,00,99,288","3,940.30","1,695.53","1,30,335.99","1,30,408.76",-,-
vi,Dividend Yield Fund,8,"5,91,575",133.14,123.75,"10,231.45","10,369.24",-,-
vii,Value Fund/Contra Fund,22,"44,53,986","1,604.86",956.81,"90,703.14","91,253.38",-,-
viii,Focused Fund,26,"53,12,917","1,659.15","1,823.47","1,03,431.93","1,05,009.83",-,-
ix,Sectoral/Thematic Funds,123,"1,29,03,923","3,719.09","3,922.68","1,68,659.80","1,70,862.13",-,-
x,ELSS,42,"1,46,03,730","2,195.95","1,631.90","1,54,558.10","1,56,363.03",-,-
xi,Flexi Cap Fund,33,"1,25,19,930","3,722.59","3,319.09","2,46,037.84","2,49,085.27",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),380,"9,49,39,400","29,791.52","22,488.13","15,25,013.05","15,41,163.30",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,17,176",575.29,444.80,"22,820.51","22,840.31",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,84,156","2,361.93","2,302.83","1,58,349.99","1,60,240.23",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,22,908","3,316.64","3,729.99","1,94,452.62","1,96,696.68",-,-
iv,Multi Asset Allocation Fund,10,"9,06,953","2,076.22",364.80,"23,904.36","24,200.85",-,-
v,Arbitrage Fund,26,"4,68,208","6,976.65","6,093.36","74,722.26","86,794.93",-,-
vi,Equity Savings Fund,22,"3,62,710",509.17,624.87,"16,825.94","17,570.97",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),136,"1,19,62,111","15,815.90","13,560.65","4,91,075.67","5,08,343.97",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,38,857",221.18,122.41,"17,984.26","18,109.94",-,-
ii,Childrens Fund,10,"29,16,524",113.04,49.48,"14,258.99","14,351.44",-,-
,Sub Total - IV (i+ii),36,"56,55,381",334.22,171.89,"32,243.25","32,461.38",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,146,"32,10,377","9,778.11","3,041.59","1,28,984.42","1,26,837.08",-,-
ii,GOLD ETF,11,"46,38,319",152.68,425.87,"21,455.35","21,051.48",-,-
iii,Other ETFs,150,"1,17,50,774","17,772.20","8,983.75","4,97,473.35","4,98,315.53",-,-
iv,Fund of funds investing overseas,49,"12,51,851",616.46,470.39,"20,482.42","20,836.39",-,-
