Sr,Scheme Name,"No. of Schemesas on December 31, 2023","No. of Folios as on December 31, 2023",Funds Mobilized for the month of December 2023 (INR in crore),Repurchase/ Redemption for the month of December 2023 (INR in crore),"Net Assets Under Management as on December 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month December 2023 (INR in crore),"No. of segregat ed portfolios created as on December 31, 2023","Net Assets Under Management in segregated portfolio as on December 31, 2023 (INR in crore)"
Monthly Report for the month of December 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on December 31, 2023","No. of Folios as on December 31, 2023",Funds Mobilized for the month of December 2023 (INR in crore),Repurchase/ Redemption for the month of December 2023 (INR in crore),"Net Assets Under Management as on December 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month December 2023 (INR in crore),"No. of segregat ed portfolios created as on December 31, 2023","Net Assets Under Management in segregated portfolio as on December 31, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,40,161","5,24,151.44","5,29,016.04","75,030.68","1,06,097.09",-,-
ii,Liquid Fund,36,"17,85,882","3,26,186.74","3,65,862.01","3,78,569.77","4,33,886.02",-,-
iii,Ultra Short Duration Fund,24,"6,40,611","15,317.63","21,347.38","88,398.81","91,432.78",-,-
iv,Low Duration Fund,20,"8,97,877","11,817.07","21,249.07","96,503.89","1,03,224.33",-,-
v,Money Market Fund,23,"4,39,156","30,353.26","38,736.82","1,43,663.34","1,48,297.45",1,-
vi,Short Duration Fund,23,"4,72,416","12,038.95","11,443.75","1,01,310.53","99,048.96",-,-
vii,Medium Duration Fund,15,"2,38,510",153.88,590.35,"26,377.98","26,461.75",3,-
viii,Medium to Long Duration Fund,12,"1,02,463",71.57,101.74,"10,337.85","10,302.86",-,-
ix,Long Duration Fund,7,"47,045",336.87,64.58,"10,276.39","10,070.06",-,-
x,Dynamic Bond Fund,22,"2,21,633",435.56,571.90,"30,861.33","30,789.22",-,-
xi,Corporate Bond Fund,21,"5,84,740","6,222.17","6,033.71","1,40,425.99","1,39,251.88",-,-
xii,Credit Risk Fund,14,"2,17,942",60.51,428.01,"23,601.81","23,677.04",3,-
xiii,Banking and PSU Fund,23,"2,66,424","2,059.81","2,720.65","80,160.50","79,810.87",-,-
xiv,Gilt Fund,21,"1,79,247",723.61,"1,205.54","26,088.47","26,293.88",-,-
xv,Gilt Fund with 10 year constant duration,5,"39,170",95.71,42.10,"4,458.21","4,406.09",-,-
xvi,Floater Fund,13,"2,22,744","1,239.12","7,410.19","54,919.40","59,190.09",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),314,"71,96,021","9,31,263.89","10,06,823.82","12,90,984.97","13,92,240.37",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,23,"52,95,021","3,463.90","1,612.03","1,11,322.19","1,08,011.18",-,-
ii,Large Cap Fund,30,"1,32,01,818","4,488.63","4,769.57","2,96,009.16","2,89,338.67",-,-
iii,Large & Mid Cap Fund,27,"86,78,915","4,942.27","2,603.40","1,87,756.64","1,82,151.96",-,-
iv,Mid Cap Fund,29,"1,28,57,604","5,259.02","3,865.97","2,81,353.29","2,74,526.67",-,-
v,Small Cap Fund,27,"1,69,19,143","8,126.34","4,268.83","2,33,979.13","2,27,616.24",-,-
vi,Dividend Yield Fund,9,"8,15,925",531.90,252.77,"21,930.58","21,157.92",-,-
