Sr,Scheme Name,"No. of Schemesas on February 28, 2023","No. of Folios as on February 28, 2023",Funds Mobilized for the month of February 2023 (INR in crore),Repurchase/ Redemption for the month of February 2023 (INR in crore),"Net Assets Under Management as on February 28, 2023 (INR in crore)",Average Net Assets Under Management for the month February 2023 (INR in crore),"No. of segregated portfolios created as on February 28, 2023","Net Assets Under Management in segregated portfolio as on February 28, 2023 (INR in crore)"
Monthly Report for the month of February 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on February 28, 2023","No. of Folios as on February 28, 2023",Funds Mobilized for the month of February 2023 (INR in crore),Repurchase/ Redemption for the month of February 2023 (INR in crore),"Net Assets Under Management as on February 28, 2023 (INR in crore)",Average Net Assets Under Management for the month February 2023 (INR in crore),"No. of segregated portfolios created as on February 28, 2023","Net Assets Under Management in segregated portfolio as on February 28, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,28,847","4,01,879.05","3,98,933.21","1,03,090.56","1,25,487.40",-,-
ii,Liquid Fund,36,"17,86,569","2,75,599.33","2,86,903.58","3,86,489.73","4,34,140.64",-,-
iii,Ultra Short Duration Fund,25,"6,42,322","11,619.16","14,049.13","88,805.43","89,974.07",-,-
iv,Low Duration Fund,21,"9,55,013","6,006.21","7,909.95","92,214.63","93,322.18",1,-
v,Money Market Fund,22,"4,27,033","20,864.19","21,406.58","1,18,619.65","1,19,798.63",-,-
vi,Short Duration Fund,25,"5,07,846","2,529.65","2,118.02","90,970.26","90,859.17",-,-
vii,Medium Duration Fund,15,"2,52,439",358.16,652.53,"25,866.88","26,006.12",3,-
viii,Medium to Long Duration Fund,12,"1,06,466",65.86,260.85,"8,664.21","8,757.79",-,-
ix,Long Duration Fund,6,"40,448",369.26,25.87,"4,080.62","3,926.87",-,-
x,Dynamic Bond Fund,22,"2,20,176",746.61,244.96,"23,364.69","23,198.69",-,-
xi,Corporate Bond Fund,21,"6,08,447","3,973.17","3,311.37","1,14,844.94","1,13,775.33",-,-
xii,Credit Risk Fund,15,"2,47,040",171.34,844.33,"24,409.60","24,610.70",3,-
xiii,Banking and PSU Fund,23,"2,98,204",730.17,990.30,"73,323.76","73,466.21",-,-
xiv,Gilt Fund,22,"1,71,155",621.54,170.74,"16,794.65","16,543.40",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,728",191.39,54.31,"1,796.76","1,751.39",-,-
xvi,Floater Fund,12,"2,41,031","1,264.05","2,928.63","56,323.56","57,100.91",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),314,"71,74,764","7,26,989.12","7,40,804.35","12,29,659.94","13,02,719.50",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,18,"40,75,693","3,158.26","1,180.90","66,874.99","67,908.59",-,-
ii,Large Cap Fund,31,"1,29,63,430","3,049.00","2,695.12","2,35,167.67","2,40,356.50",-,-
iii,Large & Mid Cap Fund,26,"77,48,622","3,123.86","1,472.86","1,26,648.36","1,28,001.42",-,-
iv,Mid Cap Fund,29,"1,04,99,596","3,490.78","1,674.12","1,83,246.27","1,84,425.02",-,-
v,Small Cap Fund,24,"1,06,71,838","3,453.83","1,207.53","1,31,568.46","1,32,162.75",-,-
vi,Dividend Yield Fund,8,"5,96,908",128.62,80.69,"10,183.11","10,332.35",-,-
vii,Value Fund/Contra Fund,22,"46,02,572","1,445.87",732.71,"89,509.94","90,729.76",-,-
viii,Focused Fund,26,"53,21,370","1,502.51","1,262.26","99,014.41","1,00,666.60",-,-
ix,Sectoral/Thematic Funds,125,"1,31,18,546","6,554.69","2,698.79","1,68,775.22","1,69,394.32",-,-
x,ELSS,42,"1,49,68,197","2,284.40","1,303.26","1,49,998.13","1,52,361.59",-,-
xi,Flexi Cap Fund,35,"1,26,64,386","4,283.87","2,481.87","2,40,790.97","2,44,285.60",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),386,"9,72,31,158","32,475.68","16,790.11","15,01,777.53","15,20,624.50",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,18,630",331.78,424.11,"22,716.05","22,912.94",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,16,109","1,865.97","1,740.61","1,53,637.06","1,56,749.41",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,28,"44,45,077","2,965.66","2,907.85","1,91,440.46","1,94,454.69",-,-
