Sr,Scheme Name,"No. of Schemesas on February 29, 2024","No. of Folios as on February 29, 2024",Funds Mobilized for the month of February 2024 (INR in crore),Repurchase/ Redemption for the month of February 2024 (INR in crore),"Net Assets Under Management as on February 29, 2024 (INR in crore)",Average Net Assets UnderManagement for the month February 2024 (INR in crore),"No. of segregat ed portfolios created as on February 29, 2024","Net Assets Under Management in segregated portfolio as on February 29, 2024 (INR in crore)"
Monthly Report for the month of February 2024,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on February 29, 2024","No. of Folios as on February 29, 2024",Funds Mobilized for the month of February 2024 (INR in crore),Repurchase/ Redemption for the month of February 2024 (INR in crore),"Net Assets Under Management as on February 29, 2024 (INR in crore)",Average Net Assets UnderManagement for the month February 2024 (INR in crore),"No. of segregat ed portfolios created as on February 29, 2024","Net Assets Under Management in segregated portfolio as on February 29, 2024 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,92,025","4,14,374.56","4,31,750.17","67,724.65","97,290.99",-,-
ii,Liquid Fund,36,"17,78,681","3,72,298.58","2,88,656.25","5,17,403.72","4,97,485.58",-,-
iii,Ultra Short Duration Fund,24,"6,35,543","13,264.22","13,626.69","92,070.55","91,584.04",-,-
iv,Low Duration Fund,20,"8,83,315","8,858.49","12,958.87","95,695.66","96,913.23",-,-
v,Money Market Fund,23,"4,33,052","27,980.55","27,843.82","1,56,455.19","1,53,800.41",1,-
vi,Short Duration Fund,23,"4,57,312","4,126.65","1,781.08","1,04,796.56","1,03,785.80",-,-
vii,Medium Duration Fund,15,"2,31,903",219.60,607.46,"26,157.70","26,238.17",3,-
viii,Medium to Long Duration Fund,12,"1,01,160",142.56,149.16,"10,528.85","10,507.33",-,-
ix,Long Duration Fund,7,"50,699",700.52,69.14,"11,884.63","11,527.99",-,-
x,Dynamic Bond Fund,22,"2,19,929",626.72,495.20,"31,509.04","31,285.47",-,-
xi,Corporate Bond Fund,21,"5,62,839","7,073.30","4,044.44","1,46,747.48","1,44,744.75",-,-
xii,Credit Risk Fund,14,"2,11,281",43.21,409.11,"23,305.35","23,413.89",3,-
xiii,Banking and PSU Fund,23,"2,59,627","1,109.92","1,590.00","80,249.69","80,073.51",-,-
xiv,Gilt Fund,21,"1,82,215","1,597.18","1,057.78","27,579.76","27,198.67",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,317",79.08,36.67,"4,649.45","4,615.53",-,-
xvi,Floater Fund,13,"2,17,967","2,231.15","5,841.62","53,215.88","53,973.81",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),314,"71,55,865","8,54,726.29","7,90,917.47","14,49,974.14","14,54,439.19",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"58,68,656","3,835.64","1,421.60","1,22,258.10","1,21,146.92",-,-
ii,Large Cap Fund,31,"1,34,89,341","5,205.90","4,284.76","3,05,940.65","3,04,329.02",-,-
iii,Large & Mid Cap Fund,29,"91,05,807","5,304.99","2,148.35","2,00,832.69","1,98,380.73",-,-
iv,Mid Cap Fund,29,"1,37,15,842","5,427.82","3,619.64","2,95,682.94","2,94,490.53",-,-
v,Small Cap Fund,27,"1,86,64,893","6,897.37","3,974.91","2,49,070.99","2,49,079.06",-,-
vi,Dividend Yield Fund,9,"8,55,919",568.65,474.64,"23,618.09","23,529.74",-,-
vii,Value Fund/Contra Fund,23,"60,07,105","3,175.52","1,308.37","1,47,098.26","1,45,849.92",-,-
viii,Focused Fund,28,"50,75,441","1,806.06","2,338.94","1,26,471.02","1,26,411.07",-,-
ix,Sectoral/Thematic Funds,155,"1,74,30,950","17,655.98","6,393.26","2,87,899.15","2,79,271.88",-,-
x,ELSS,42,"1,58,60,893","2,469.26","2,130.14","2,09,354.38","2,08,094.43",-,-
