Sr,Scheme Name,"No. of Schemesas on January 31, 2023","No. of Folios as on January 31, 2023",Funds Mobilized for the month of January 2023 (INR in crore),Repurchase/ Redemption for the month of January 2023 (INR in crore),"Net Assets Under Management as on January31, 2023 (INR in crore)",Average Net Assets Under Management for the  month January 2023 (INR in crore),"No. of segregated portfolios created as on January 31, 2023","Net Assets Under Management in segregated portfolio as on January 31, 2023 (INR in crore)"
Monthly Report for the month of January 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on January 31, 2023","No. of Folios as on January 31, 2023",Funds Mobilized for the month of January 2023 (INR in crore),Repurchase/ Redemption for the month of January 2023 (INR in crore),"Net Assets Under Management as on January31, 2023 (INR in crore)",Average Net Assets Under Management for the  month January 2023 (INR in crore),"No. of segregated portfolios created as on January 31, 2023","Net Assets Under Management in segregated portfolio as on January 31, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,23,131","4,01,691.20","4,05,379.10","99,542.47","1,15,085.43",-,-
ii,Liquid Fund,36,"17,81,851","3,38,073.43","3,43,115.11","3,95,699.87","4,57,973.25",-,-
iii,Ultra Short Duration Fund,25,"6,44,605","13,773.26","12,008.12","90,803.70","91,696.19",-,-
iv,Low Duration Fund,21,"9,64,472","5,625.47","6,401.21","93,644.91","94,340.52",1,-
v,Money Market Fund,22,"4,28,094","27,001.96","20,541.97","1,18,387.77","1,17,967.80",-,-
vi,Short Duration Fund,25,"5,11,060","1,989.47","5,848.21","90,304.91","93,259.24",-,-
vii,Medium Duration Fund,15,"2,53,176",424.35,500.65,"26,112.39","26,097.87",3,-
viii,Medium to Long Duration Fund,12,"1,06,677",65.14,71.89,"8,850.88","8,849.54",-,-
ix,Long Duration Fund,6,"39,497",269.53,29.20,"3,718.68","3,580.46",-,-
x,Dynamic Bond Fund,22,"2,19,116",547.91,494.74,"22,832.70","22,677.54",-,-
xi,Corporate Bond Fund,21,"6,11,046","3,151.11","5,484.54","1,13,809.54","1,16,184.66",-,-
xii,Credit Risk Fund,15,"2,49,244",273.32,722.58,"25,018.16","25,289.59",3,-
xiii,Banking and PSU Fund,23,"3,00,675","1,442.39","2,615.30","73,408.71","74,609.55",-,-
xiv,Gilt Fund,22,"1,70,646",400.77,457.67,"16,329.91","16,423.91",-,-
xv,Gilt Fund with 10 year constant duration,5,"41,972",84.36,21.95,"1,660.64","1,615.89",-,-
xvi,Floater Fund,12,"2,43,940","2,309.08","3,746.66","57,660.86","58,285.62",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),314,"71,89,202","7,97,122.76","8,07,438.91","12,37,786.11","13,23,937.06",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,17,"39,22,006","2,713.75",940.72,"66,099.74","65,572.43",-,-
ii,Large Cap Fund,31,"1,29,45,224","3,296.24","2,580.26","2,38,101.31","2,41,392.09",-,-
iii,Large & Mid Cap Fund,26,"76,75,827","3,077.55","1,175.55","1,26,580.53","1,27,375.54",-,-
iv,Mid Cap Fund,29,"1,03,69,025","3,563.13","1,935.07","1,83,062.72","1,83,816.94",-,-
v,Small Cap Fund,24,"1,04,30,356","3,491.35","1,235.49","1,30,890.12","1,30,535.39",-,-
vi,Dividend Yield Fund,8,"5,94,130",123.00,120.83,"10,251.98","10,280.24",-,-
vii,Value Fund/Contra Fund,22,"45,35,765","1,477.98",714.69,"90,344.90","90,826.00",-,-
viii,Focused Fund,26,"53,22,806","1,704.29","1,520.98","1,00,330.58","1,01,855.15",-,-
ix,Sectoral/Thematic Funds,123,"1,29,94,142","3,678.74","2,775.55","1,67,665.77","1,68,481.98",-,-
x,ELSS,42,"1,48,30,370","2,739.16","1,325.16","1,51,166.64","1,53,294.47",-,-
xi,Flexi Cap Fund,33,"1,25,87,368","3,567.89","2,562.26","2,41,786.88","2,44,240.64",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),381,"9,62,07,019","29,433.08","16,886.57","15,06,281.15","15,17,670.88",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,19,088",539.12,428.95,"22,839.84","22,929.89",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,06,549","2,350.54","1,896.42","1,55,605.86","1,57,862.53",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,33,648","3,063.46","3,281.29","1,92,687.82","1,95,241.45",-,-
iv,Multi Asset Allocation Fund,11,"10,05,254","2,489.83",308.13,"25,933.99","25,537.31",-,-
v,Arbitrage Fund,26,"4,62,351","7,298.17","5,243.58","76,803.14","89,624.45",-,-
vi,Equity Savings Fund,22,"3,63,281",451.81,542.57,"16,748.80","17,482.99",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),137,"1,20,90,171","16,192.92","11,700.96","4,90,619.45","5,08,678.62",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,47,498",240.61,122.36,"17,790.56","17,941.67",-,-
ii,Childrens Fund,10,"29,20,516",119.41,48.25,"14,155.16","14,211.46",-,-
,Sub Total - IV (i+ii),36,"56,68,014",360.03,170.61,"31,945.72","32,153.13",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,152,"33,89,328","7,803.65","1,990.49","1,33,772.45","1,31,555.86",-,-
ii,GOLD ETF,11,"46,73,999",260.83,460.26,"21,835.92","21,842.38",-,-
iii,Other ETFs,152,"1,18,54,687","14,960.49","16,669.45","4,87,067.48","4,92,481.71",-,-
iv,Fund of funds investing overseas,49,"12,57,035",579.30,529.47,"22,137.95","21,388.07",-,-
