Sr,Scheme Name,"No. of Schemesas on January 31, 2024","No. of Folios  as on January 31, 2024",Funds Mobilized for the month of January 2024(INR in crore),Repurchase/ Redemption for the month of  January 2024(INR in crore),"Net Assets Under Management as on  January 31, 2024 (INR in crore)",Average Net Assets UnderManagement for the month January 2024(INR in crore),"No. of segregat ed portfolios created  as on January 31, 2024","Net Assets Under Management in segregated portfolio as on January 31, 2024 (INR in crore)"
Monthly Report for the month of January 2024,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on January 31, 2024","No. of Folios  as on January 31, 2024",Funds Mobilized for the month of January 2024(INR in crore),Repurchase/ Redemption for the month of  January 2024(INR in crore),"Net Assets Under Management as on  January 31, 2024 (INR in crore)",Average Net Assets UnderManagement for the month January 2024(INR in crore),"No. of segregat ed portfolios created  as on January 31, 2024","Net Assets Under Management in segregated portfolio as on January 31, 2024 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,60,396","4,57,249.09","4,48,254.02","84,592.68","1,00,876.38",-,-
ii,Liquid Fund,36,"17,84,696","3,77,822.11","3,28,354.43","4,30,866.24","4,72,113.95",-,-
iii,Ultra Short Duration Fund,24,"6,39,365","15,495.50","12,558.96","91,879.38","92,334.73",-,-
iv,Low Duration Fund,20,"8,92,255","11,427.57","9,311.47","99,202.02","99,856.86",-,-
v,Money Market Fund,23,"4,38,028","35,758.65","25,107.60","1,55,308.64","1,50,976.65",1,-
vi,Short Duration Fund,23,"4,61,888","1,786.85","2,009.37","1,01,737.91","1,01,395.79",-,-
vii,Medium Duration Fund,15,"2,35,134",396.13,606.92,"26,343.53","26,295.23",3,-
viii,Medium to Long Duration Fund,12,"1,01,729",92.28,72.96,"10,434.47","10,382.66",-,-
ix,Long Duration Fund,7,"48,073",639.82,57.38,"11,057.13","10,599.74",-,-
x,Dynamic Bond Fund,22,"2,20,330",485.21,547.94,"31,052.56","30,994.99",-,-
xi,Corporate Bond Fund,21,"5,69,907","3,419.29","2,118.24","1,42,618.95","1,42,363.10",-,-
xii,Credit Risk Fund,14,"2,14,675",59.52,362.20,"23,499.82","23,567.57",3,-
xiii,Banking and PSU Fund,23,"2,62,869",735.01,"1,236.02","80,146.18","80,089.74",-,-
xiv,Gilt Fund,21,"1,79,926",805.35,392.44,"26,740.63","26,425.79",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,720",99.44,33.94,"4,559.28","4,517.44",-,-
xvi,Floater Fund,13,"2,20,693","3,015.02","1,793.97","56,465.01","56,613.25",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),314,"71,68,684","9,09,286.84","8,32,817.88","13,76,504.44","14,29,403.89",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"56,27,683","4,318.33","1,279.67","1,18,110.56","1,14,237.05",-,-
ii,Large Cap Fund,30,"1,33,46,810","4,984.55","3,697.49","2,99,733.71","2,97,349.89",-,-
iii,Large & Mid Cap Fund,27,"88,80,611","4,626.41","2,296.31","1,94,015.39","1,90,526.43",-,-
iv,Mid Cap Fund,29,"1,33,16,071","5,648.42","3,587.25","2,90,293.81","2,85,308.52",-,-
v,Small Cap Fund,27,"1,78,96,929","7,033.71","3,776.73","2,47,603.34","2,39,940.99",-,-
vi,Dividend Yield Fund,9,"8,36,896",616.31,234.66,"22,948.85","22,312.23",-,-
vii,Value Fund/Contra Fund,23,"58,24,994","3,103.18","1,261.02","1,42,075.88","1,38,340.30",-,-
viii,Focused Fund,28,"50,93,488","2,076.98","2,278.81","1,25,636.59","1,24,799.87",-,-
ix,Sectoral/Thematic Funds,150,"1,61,37,536","9,380.48","4,575.80","2,71,142.04","2,64,039.76",-,-
x,ELSS,42,"1,57,28,518","2,635.87","2,102.99","2,04,369.62","2,01,884.31",-,-
xi,Flexi Cap Fund,38,"1,37,76,248","6,406.47","3,959.44","3,34,406.47","3,30,432.00",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),427,"11,64,65,784","50,830.72","29,050.16","22,50,336.25","22,09,171.35",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,19,"5,34,546",502.73,455.32,"26,546.82","26,317.66",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,65,185","2,943.69","2,495.74","1,91,437.57","1,89,778.46",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,31,"45,15,525","4,953.36","3,613.48","2,41,083.61","2,37,368.54",-,-
iv,Multi Asset Allocation Fund,19,"18,22,102","7,771.25",691.73,"60,324.84","57,732.91",-,-
v,Arbitrage Fund,27,"4,78,260","22,866.86","12,258.47","1,44,093.03","1,62,169.00",-,-
vi,Equity Savings Fund,22,"3,95,788","2,179.57","1,065.71","27,082.86","26,935.69",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),149,"1,31,11,406","41,217.45","20,580.46","6,90,568.74","7,00,302.26",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,48,950",332.82,174.69,"24,489.41","24,229.99",-,-
ii,Childrens Fund,11,"29,70,835",160.54,70.92,"18,736.88","18,487.74",-,-
,Sub Total - IV (i+ii),38,"58,19,785",493.36,245.61,"43,226.29","42,717.73",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,197,"67,02,645","5,994.90","3,006.92","2,04,524.55","2,01,318.71",-,-
ii,GOLD ETF,16,"49,72,469",734.06,76.60,"27,778.08","30,445.04",-,-
iii,Other ETFs,183,"1,31,80,494","17,230.43","16,659.24","6,27,244.59","6,22,214.94",-,-
iv,Fund of funds investing overseas,54,"15,56,656",384.92,618.71,"24,044.11","23,787.60",-,-
,Sub Total - V (i+ii+iii+iv),450,"2,64,12,264","24,344.32","20,361.47","8,83,591.32","8,77,766.30",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,378","16,89,77,923","10,26,172.70","9,03,055.58","52,44,227.04","52,59,361.53",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,93,"79,517",383.94,325.25,"18,032.82","17,920.81",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,611.38","1,606.21",-,-
iv,Other Debt Scheme,1,"2,15,586",23.11,67.31,"5,289.44","5,324.85",-,-
,Sub Total (i+ii+iii+iv),99,"2,95,144",407.05,392.56,"24,933.65","24,851.88",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,81,749",-,31.99,"4,082.74","4,070.07",-,-
ii,Other Equity Schemes,1,"1,738",-,-,132.94,131.32,-,-
,Sub Total (i+ii),20,"2,83,487",-,31.99,"4,215.68","4,201.39",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,119,"5,78,631",407.05,424.55,"29,149.33","29,053.27",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,628",105.95,0.42,624.33,592.92,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,628",105.95,0.42,624.33,592.92,-,-
,,,,,,,,,
,Grand Total,"1,509","16,95,59,182","10,26,685.71","9,03,480.55","52,74,000.70","52,89,007.72",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  79,"20,52,935",978.74,928.04,"73,832.44","73,234.83",-,-
