Sr,Scheme Name,"No. of Schemes as on July 31, 2021","No. of Folios as on July 31, 2021",Funds Mobilized for the month of July 2021 (INR in crore),Repurchase/ Redemption for the month of July2021 (INR in crore),"Net Assets Under Management  as on July 31, 2021 (INR in crore)",Average Net Assets Under Management for the month July 2021 (INR in crore),"No. of segregated portfolios created as on July 31, 2021","Net Assets Under Management in segregated portfolio as on July 31, 2021 (INR in crore)"
Monthly Report for the month of July 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on July 31, 2021","No. of Folios as on July 31, 2021",Funds Mobilized for the month of July 2021 (INR in crore),Repurchase/ Redemption for the month of July2021 (INR in crore),"Net Assets Under Management  as on July 31, 2021 (INR in crore)",Average Net Assets Under Management for the month July 2021 (INR in crore),"No. of segregated portfolios created as on July 31, 2021","Net Assets Under Management in segregated portfolio as on July 31, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,27,165","3,07,472.88","3,01,540.28","89,293.83","99,098.93",-,-
ii,Liquid Fund,39,"21,40,748","2,75,317.99","2,43,578.20","3,70,811.93","3,79,152.48",-,-
iii,Ultra Short Duration Fund,28,"6,51,504","24,062.77","17,406.84","1,04,172.99","1,02,772.32",-,-
iv,Low Duration Fund,24,"11,61,022","23,462.49","15,301.04","1,62,704.07","1,63,027.06",2,11.92
v,Money Market Fund,18,"4,90,463","40,733.93","19,823.49","1,22,718.10","1,17,508.40",-,-
vi,Short Duration Fund,26,"6,43,977","4,520.98","5,948.05","1,40,690.05","1,40,740.19",1,11.24
vii,Medium Duration Fund,16,"2,99,113","2,309.33","1,517.75","32,213.41","31,222.94",6,327.60
viii,Medium to Long Duration Fund,13,"1,22,526",131.66,"1,865.28","10,219.22","11,050.77",1,15.98
ix,Long Duration Fund,2,"27,299",20.56,43.25,"2,532.66","2,536.79",-,-
x,Dynamic Bond Fund,26,"2,56,475","1,468.67","1,833.52","24,570.14","24,572.66",2,128.81
xi,Corporate Bond Fund,20,"7,29,435","4,776.84","7,844.53","1,57,184.98","1,58,217.91",-,-
xii,Credit Risk Fund,16,"2,86,609",764.43,462.88,"26,754.34","26,511.65",8,230.16
xiii,Banking and PSU Fund,22,"3,73,690","3,997.09","5,111.24","1,20,496.26","1,20,181.91",-,-
xiv,Gilt Fund,21,"1,97,683",928.56,"1,374.09","16,255.86","16,308.09",-,-
