Sr,Scheme Name,"No. of Schemesas on July 31, 2022","No. of Folios as on July 31, 2022",Funds Mobilized for the month of July 2022 (INR in crore),Repurchase/ Redemption for the month of July 2022 (INR in crore),"Net Assets Under Management as on July 31, 2022 (INR in crore)",Average Net Assets Under Management for the month July 2022 (INR in crore),"No. of segregated portfolios created as on July 31, 2022","Net Assets Under Management in segregated portfolio as on July 31, 2022 (INR in crore)"
Monthly Report for the month of July 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on July 31, 2022","No. of Folios as on July 31, 2022",Funds Mobilized for the month of July 2022 (INR in crore),Repurchase/ Redemption for the month of July 2022 (INR in crore),"Net Assets Under Management as on July 31, 2022 (INR in crore)",Average Net Assets Under Management for the month July 2022 (INR in crore),"No. of segregated portfolios created as on July 31, 2022","Net Assets Under Management in segregated portfolio as on July 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"6,14,247","4,62,219.10","4,42,300.44","1,23,409.85","1,36,240.23",-,-
ii,Liquid Fund,37,"17,51,686","2,56,150.90","2,63,843.55","3,58,401.53","4,21,458.65",-,-
iii,Ultra Short Duration Fund,26,"6,16,009","17,689.89","13,961.87","90,773.57","90,400.83",-,-
iv,Low Duration Fund,22,"10,04,139","10,246.51","10,892.10","99,305.03","1,02,401.04",1,-
v,Money Market Fund,20,"4,16,108","26,382.69","23,743.94","1,11,688.71","1,14,410.65",-,-
vi,Short Duration Fund,25,"5,40,403",950.46,"2,822.38","95,152.93","96,182.11",-,-
vii,Medium Duration Fund,16,"2,65,574",177.70,723.31,"28,838.47","28,900.16",4,130.54
viii,Medium to Long Duration Fund,13,"1,13,099",61.61,225.95,"9,043.78","9,053.68",-,-
ix,Long Duration Fund,2,"23,848",45.20,12.42,"2,570.32","2,546.77",-,-
x,Dynamic Bond Fund,25,"2,23,827",272.18,363.37,"21,846.88","21,774.91",1,50.06
xi,Corporate Bond Fund,21,"6,34,713",637.87,"3,220.09","1,13,857.28","1,14,908.05",-,-
xii,Credit Risk Fund,15,"2,62,757",169.09,381.78,"26,192.42","26,217.59",4,66.33
xiii,Banking and PSU Fund,22,"3,13,127",592.13,"3,401.77","82,678.36","84,535.29",-,-
xiv,Gilt Fund,21,"1,71,254",166.88,280.37,"15,136.72","15,158.72",-,-
xv,Gilt Fund with 10 year constant duration,4,"42,393",53.15,30.00,"1,988.09","1,959.46",-,-
xvi,Floater Fund,12,"2,53,053","1,459.39","6,141.35","65,541.86","67,536.65",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),311,"72,46,237","7,77,274.75","7,72,344.67","12,46,425.81","13,33,684.79",10,246.93
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"34,59,965","1,057.08",533.07,"59,303.98","56,450.78",-,-
ii,Large Cap Fund,30,"1,27,98,164","3,142.63","2,051.72","2,31,851.80","2,21,787.96",-,-
iii,Large & Mid Cap Fund,27,"71,81,262","2,328.99","1,209.20","1,17,218.53","1,11,700.45",-,-
iv,Mid Cap Fund,26,"92,45,074","2,599.35","1,354.68","1,68,438.05","1,60,389.80",-,-
v,Small Cap Fund,24,"86,59,248","2,705.41",925.96,"1,13,332.11","1,08,472.12",-,-
vi,Dividend Yield Fund,8,"5,87,383",102.58,87.55,"9,946.11","9,524.38",-,-
vii,Value Fund/Contra Fund,22,"42,03,723","1,083.25",656.24,"82,030.24","78,483.18",-,-
viii,Focused Fund,26,"52,70,192","1,684.01",911.49,"99,933.56","95,291.31",-,-
ix,Sectoral/Thematic Funds,118,"1,24,55,778","3,156.32","2,940.85","1,54,214.16","1,48,315.21",-,-
x,ELSS,39,"1,42,34,392","1,320.54",992.69,"1,47,910.92","1,41,039.13",-,-
xi,Flexi Cap Fund,31,"1,21,57,663","3,473.89","2,092.34","2,31,327.51","2,20,776.98",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),365,"9,02,52,844","22,654.05","13,755.80","14,15,506.96","13,52,231.30",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,13,330",353.19,333.38,"21,715.43","21,483.82",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,91,744","2,166.56","1,480.38","1,50,660.23","1,45,724.53",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,86,473","2,692.38","2,138.44","1,86,630.06","1,83,463.51",-,-
iv,Multi Asset Allocation Fund,9,"8,29,737",388.25,210.49,"20,404.37","20,825.41",-,-
v,Arbitrage Fund,25,"5,00,402","3,552.06","9,959.61","89,117.44","1,06,812.63",-,-
vi,Equity Savings Fund,22,"3,66,728",388.47,564.95,"17,079.97","17,592.83",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),134,"1,17,88,414","9,540.92","14,687.24","4,85,607.50","4,95,902.72",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,98,992",158.27,96.63,"16,764.79","16,225.78",-,-
ii,Childrens Fund,10,"29,00,909",85.89,36.61,"13,401.98","12,989.08",-,-
,Sub Total - IV (i+ii),35,"55,99,901",244.16,133.24,"30,166.77","29,214.86",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,95,"27,51,698","7,779.80","1,000.57","94,589.49","88,605.98",-,-
ii,GOLD ETF,11,"46,42,602",0.96,457.71,"20,037.76","19,987.66",-,-
iii,Other ETFs,126,"1,15,34,916","11,021.11","3,386.08","4,36,116.37","4,13,003.15",-,-
iv,Fund of funds investing overseas,46,"12,60,136",564.30,251.25,"21,175.64","20,135.89",-,-
,Sub Total - V (i+ii+iii+iv),278,"2,01,89,352","19,366.17","5,095.61","5,71,919.25","5,41,732.67",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,123","13,50,76,748","8,29,080.04","8,06,016.55","37,49,626.29","37,52,766.34",15,282.07
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,94,"89,730","1,430.03",831.21,"14,486.62","13,715.77",-,-
ii,Capital Protection Oriented Schemes,10,"16,229",-,-,814.44,809.02,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,046.44","2,042.88",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),112,"1,06,039","1,430.03",831.21,"17,347.50","16,567.67",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,08,723",-,15.62,"3,588.88","3,441.67",-,-
ii,Other Equity Schemes,14,"79,179",-,-,"3,349.71","3,201.58",-,-
,Sub Total (i+ii),33,"3,87,902",-,15.62,"6,938.58","6,643.25",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,145,"4,93,941","1,430.03",846.83,"24,286.09","23,210.92",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,964",57.01,98.77,890.51,933.89,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,964",57.01,98.77,890.51,933.89,-,-
,,,,,,,,,
,Grand Total,"1,280","13,55,73,653","8,30,567.07","8,06,962.15","37,74,802.90","37,76,911.15",15,282.07
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,71,"17,75,656","2,530.26",531.30,"53,336.64","51,391.88",-,-
