Sr,Scheme Name,"No. of Schemes as on June 30, 2021","No. of Folios as on June 30, 2021",Funds Mobilized for the month of June 2021 (INR in crore),Repurchase/ Redemption for the month of June 2021 (INR in crore),"Net Assets Under Management as on June 30, 2021 (INR in crore)",Average Net Assets Under Management for the month June 2021 (INR in crore),"No. of segregated portfolios created as on June 30, 2021","Net Assets Under Management in segregated portfolio as on June 30, 2021 (INR in crore)"
Monthly Report for the month of June 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on June 30, 2021","No. of Folios as on June 30, 2021",Funds Mobilized for the month of June 2021 (INR in crore),Repurchase/ Redemption for the month of June 2021 (INR in crore),"Net Assets Under Management as on June 30, 2021 (INR in crore)",Average Net Assets Under Management for the month June 2021 (INR in crore),"No. of segregated portfolios created as on June 30, 2021","Net Assets Under Management in segregated portfolio as on June 30, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,27,691","2,85,475.26","2,81,015.26","83,153.33","98,242.12",-,-
ii,Liquid Fund,39,"21,52,953","2,53,056.98","2,50,978.50","3,38,007.10","3,61,166.86",-,-
iii,Ultra Short Duration Fund,28,"6,53,790","16,310.52","18,750.25","97,098.36","99,397.28",-,-
iv,Low Duration Fund,24,"11,67,143","30,408.05","24,134.83","1,53,800.77","1,51,485.12",2,11.92
v,Money Market Fund,18,"4,90,517","23,266.47","37,254.20","1,01,398.94","1,13,241.79",-,-
vi,Short Duration Fund,26,"6,53,160","5,972.78","7,029.58","1,41,395.73","1,42,225.56",1,11.24
vii,Medium Duration Fund,15,"2,92,817","1,136.79","1,131.99","31,211.38","31,510.88",6,327.54
viii,Medium to Long Duration Fund,13,"1,23,914",560.78,135.73,"11,914.24","11,826.97",1,15.83
ix,Long Duration Fund,2,"28,228",16.32,36.22,"2,559.81","2,594.01",-,-
x,Dynamic Bond Fund,25,"2,59,221","1,570.32","1,622.12","24,881.87","25,611.90",2,128.76
xi,Corporate Bond Fund,20,"7,34,750","7,572.20","7,042.14","1,59,287.93","1,59,579.19",-,-
xii,Credit Risk Fund,16,"2,87,289",696.83,460.13,"26,229.94","26,094.44",8,229.55
xiii,Banking and PSU Fund,22,"3,80,835","4,977.99","3,620.44","1,20,872.39","1,20,360.68",-,-
xiv,Gilt Fund,21,"2,03,566",739.50,"1,277.56","16,654.84","17,084.14",-,-
xv,Gilt Fund with 10 year constant duration,4,"53,204",37.75,62.11,"1,496.69","1,514.75",-,-
xvi,Floater Fund,10,"2,60,864","10,885.45","4,566.53","76,221.18","73,533.93",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),313,"78,69,942","6,42,683.99","6,39,117.59","13,86,184.54","14,35,469.62",20,724.85
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,11,"15,56,671",660.10,450.51,"24,436.68","24,074.11",-,-
ii,Large Cap Fund,33,"1,08,99,563","3,795.25","3,247.93","1,94,854.79","1,94,095.73",-,-
iii,Large & Mid Cap Fund,28,"52,73,746","2,119.17","1,318.51","87,752.90","86,171.81",-,-
iv,Mid Cap Fund,27,"71,27,085","4,036.23","2,307.16","1,34,925.31","1,32,181.09",-,-
v,Small Cap Fund,24,"55,44,829","2,575.84","1,870.70","85,957.21","83,501.68",-,-
vi,Dividend Yield Fund,8,"5,37,732",162.74,123.08,"8,397.47","8,254.43",-,-
vii,Value Fund/Contra Fund,19,"38,05,543","1,311.58","1,426.46","69,008.12","67,516.93",-,-
viii,Focused Fund,26,"41,15,326","2,247.65","1,678.66","77,763.59","76,974.28",-,-
ix,Sectoral/Thematic Funds,108,"85,38,521","4,584.50","3,377.13","1,14,683.65","1,13,050.90",-,-
x,ELSS,42,"1,27,58,592","1,255.54","2,047.40","1,35,624.00","1,35,052.22",-,-
xi,Flexi Cap Fund,25,"87,55,108","4,162.49","3,075.38","1,76,621.76","1,74,779.57",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),351,"6,89,12,716","26,911.09","20,922.92","11,10,025.49","10,95,652.75",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,22,"4,08,857",885.52,251.51,"14,563.55","14,277.09",2,43.77
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,34,"47,67,992","2,470.62","2,772.11","1,31,474.85","1,31,356.09",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,24,"29,50,326","4,380.56","2,323.68","1,19,262.08","1,19,643.34",-,-
iv,Multi Asset Allocation Fund,10,"7,29,990",463.45,374.42,"16,072.70","16,905.45",-,-
v,Arbitrage Fund,27,"5,37,413","14,520.30","5,460.73","94,840.95","98,210.86",-,-
vi,Equity Savings Fund,23,"2,96,255","1,166.88",343.41,"11,379.89","11,292.18",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),140,"96,90,833","23,887.34","11,525.87","3,87,594.01","3,91,685.00",6,78.91
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,35,896",204.42,150.91,"14,741.61","14,636.35",-,-
ii,Childrens Fund,10,"28,82,036",84.10,41.42,"11,790.44","11,647.94",-,-
,Sub Total - IV (i+ii),35,"55,17,932",288.52,192.33,"26,532.05","26,284.29",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,49,"13,41,913","2,320.11",633.44,"24,946.70","24,134.29",-,-
ii,GOLD ETF,11,"18,32,124",672.81,313.15,"16,225.14","16,508.88",-,-
iii,Other ETFs,97,"53,81,634","7,549.63","4,537.03","3,06,319.04","3,04,210.07",-,-
iv,Fund of funds investing overseas,36,"8,79,037","1,060.38",268.87,"17,863.84","16,974.76",-,-
,Sub Total - V (i+ii+iii+iv),193,"94,34,708","11,602.92","5,752.49","3,65,354.71","3,61,828.00",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,032","10,14,26,131","7,05,373.86","6,77,511.21","32,75,690.80","33,10,919.67",26,803.76
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,413,"2,86,723",732.02,"11,268.50","69,526.03","75,402.66",-,-
ii,Capital Protection Oriented Schemes,14,"32,900",-,125.47,"1,667.24","1,682.31",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"1,979.00","1,975.08",-,-
iv,Other Debt Scheme,2,"1,293",-,499.30,104.41,375.29,-,-
,Sub Total (i+ii+iii+iv),437,"3,20,996",732.02,"11,893.27","73,276.69","79,435.34",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,25,"4,14,688",-,99.30,"4,897.03","4,880.01",-,-
ii,Other Equity Schemes,39,"4,33,731",-,"1,280.12","12,897.49","15,019.47",-,-
,Sub Total (i+ii),64,"8,48,419",-,"1,379.42","17,794.53","19,899.48",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,501,"11,69,415",732.02,"13,272.69","91,071.21","99,334.82",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,21,"3,360",0.03,1.73,114.48,148.98,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,21,"3,360",0.03,1.73,114.48,148.98,-,-
,,,,,,,,,
,Grand Total,"1,554","10,25,98,906","7,06,105.91","6,90,785.63","33,66,876.50","34,10,403.47",26,803.76
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,57,"13,65,421","2,130.29",618.03,"34,300.01","33,614.80",-,-
