Sr,Scheme Name,"No. of Schemesas on June 30, 2022","No. of Folios as on June 30, 2022",Funds Mobilized for the month of June 2022 (INR in crore),Repurchase/ Redemption for the month of June 2022 (INR in crore),"Net Assets Under Management as on June 30, 2022 (INR in crore)",Average Net Assets Under Management for the month June 2022 (INR in crore),"No. of segregated portfolios created as on June 30, 2022","Net Assets Under Management in segregated portfolio as on June 30, 2022 (INR in crore)"
Monthly Report for the month of June 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on June 30, 2022","No. of Folios as on June 30, 2022",Funds Mobilized for the month of June 2022 (INR in crore),Repurchase/ Redemption for the month of June 2022 (INR in crore),"Net Assets Under Management as on June 30, 2022 (INR in crore)",Average Net Assets Under Management for the month June 2022 (INR in crore),"No. of segregated portfolios created as on June 30, 2022","Net Assets Under Management in segregated portfolio as on June 30, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"6,11,507","5,26,275.02","5,46,943.09","1,02,944.95","1,52,639.12",-,-
ii,Liquid Fund,37,"17,49,619","2,98,147.68","3,13,930.32","3,64,492.65","4,05,242.55",-,-
iii,Ultra Short Duration Fund,27,"6,14,710","13,938.47","23,996.46","86,632.74","92,354.06",-,-
iv,Low Duration Fund,22,"10,13,889","4,687.96","13,220.31","99,428.94","1,04,096.56",1,-
v,Money Market Fund,20,"4,14,995","20,103.15","28,229.27","1,08,586.56","1,09,588.59",-,-
vi,Short Duration Fund,25,"5,45,864",643.32,"7,292.22","96,256.08","99,023.66",-,-
vii,Medium Duration Fund,16,"2,68,362",150.93,"1,379.26","28,890.94","29,280.51",4,130.50
viii,Medium to Long Duration Fund,13,"1,13,016",41.67,208.83,"9,113.33","9,165.79",-,-
ix,Long Duration Fund,2,"23,951",55.82,19.18,"2,508.48","2,469.41",-,-
x,Dynamic Bond Fund,25,"2,24,531",175.45,913.13,"21,667.60","22,064.29",1,50.05
xi,Corporate Bond Fund,21,"6,38,542",489.79,"9,575.81","1,15,545.39","1,19,144.85",-,-
xii,Credit Risk Fund,15,"2,64,066",158.31,640.73,"26,161.93","26,350.39",4,66.30
xiii,Banking and PSU Fund,22,"3,16,076",644.95,"4,526.23","84,974.05","87,269.11",-,-
xiv,Gilt Fund,21,"1,73,032",146.14,174.21,"15,120.58","15,069.53",-,-
xv,Gilt Fund with 10 year constant duration,4,"42,765",259.42,38.74,"1,938.23","1,799.51",-,-
xvi,Floater Fund,12,"2,54,706","1,341.75","8,419.69","69,811.34","72,309.47",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),312,"72,69,631","8,67,259.84","9,59,507.47","12,34,073.78","13,47,867.40",10,246.85
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"33,89,335","1,378.79",408.54,"53,297.70","53,186.60",-,-
ii,Large Cap Fund,31,"1,27,50,858","3,860.81","1,730.46","2,12,074.38","2,12,716.10",-,-
iii,Large & Mid Cap Fund,27,"70,88,163","3,129.74","1,135.01","1,05,880.69","1,05,453.08",-,-
iv,Mid Cap Fund,26,"91,32,054","3,041.38","1,189.71","1,50,744.39","1,50,723.62",-,-
v,Small Cap Fund,24,"84,79,510","2,581.47",965.54,"1,02,481.52","1,02,090.23",-,-
vi,Dividend Yield Fund,8,"5,84,894",145.36,78.86,"9,145.31","9,223.11",-,-
vii,Value Fund/Contra Fund,22,"41,56,360","1,321.73",474.58,"75,220.51","75,216.96",-,-
viii,Focused Fund,26,"52,36,415","2,061.70",870.13,"90,621.98","90,751.23",-,-
ix,Sectoral/Thematic Funds,118,"1,24,14,900","3,828.49","2,150.68","1,41,636.05","1,41,953.06",-,-
x,ELSS,39,"1,41,88,907","1,467.18",827.12,"1,34,225.70","1,35,193.62",-,-
xi,Flexi Cap Fund,31,"1,20,74,588","4,720.39","2,208.65","2,10,682.47","2,11,296.44",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),366,"8,94,95,984","27,537.04","12,039.28","12,86,010.69","12,87,804.06",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,10,428",468.43,293.22,"21,153.44","21,114.58",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"51,57,150","2,406.70","1,276.60","1,40,512.97","1,41,070.16",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,25,"43,58,661","3,589.73","1,790.32","1,77,714.13","1,78,619.12",-,-
iv,Multi Asset Allocation Fund,10,"8,26,549",411.98,268.10,"19,225.27","20,383.41",-,-
v,Arbitrage Fund,25,"5,02,918","5,576.75","11,170.05","95,229.42","1,12,120.53",-,-
vi,Equity Savings Fund,22,"3,64,946",590.95,525.68,"16,919.01","17,476.08",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),135,"1,17,20,652","13,044.54","15,323.98","4,70,754.24","4,90,783.88",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,96,013",166.98,87.88,"15,673.05","15,682.31",-,-
ii,Childrens Fund,10,"28,99,529",89.60,31.29,"12,554.00","12,563.38",-,-
,Sub Total - IV (i+ii),35,"55,95,542",256.58,119.17,"28,227.06","28,245.69",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,94,"27,00,762","7,975.16",674.03,"83,407.85","79,191.85",-,-
ii,GOLD ETF,11,"46,05,088",251.71,116.88,"20,248.59","20,121.48",-,-
iii,Other ETFs,124,"1,15,26,763","8,703.52","3,344.96","3,98,153.52","3,98,881.59",-,-
iv,Fund of funds investing overseas,46,"12,60,239",554.01,238.90,"19,295.93","19,607.47",-,-
,Sub Total - V (i+ii+iii+iv),275,"2,00,92,852","17,484.40","4,374.77","5,21,105.89","5,17,802.39",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,123","13,41,74,661","9,25,582.40","9,91,364.68","35,40,171.65","36,72,503.43",15,281.99
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,95,"79,009",-,"3,985.02","13,773.94","15,621.25",-,-
ii,Capital Protection Oriented Schemes,10,"16,206",-,-,801.54,801.22,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,035.51","2,032.15",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),113,"95,295",-,"3,985.02","16,610.99","18,454.63",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,09,684",-,17.36,"3,306.42","3,343.54",-,-
ii,Other Equity Schemes,14,"79,199",-,0.01,"3,072.41","3,084.24",-,-
,Sub Total (i+ii),33,"3,88,883",-,17.37,"6,378.83","6,427.79",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,146,"4,84,178",-,"4,002.39","22,989.82","24,882.41",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,979",99.52,167.79,928.74,940.96,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,979",99.52,167.79,928.74,940.96,-,-
,,,,,,,,,
,Grand Total,"1,281","13,46,61,818","9,25,681.92","9,95,534.86","35,64,090.20","36,98,326.80",15,281.99
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,71,"17,63,229","2,422.12",546.94,"49,687.50","48,710.19",-,-
