Sr,Scheme Name,"No. of Schemesas on June 30, 2023","No. of Folios as on June 30, 2023",Funds Mobilized for the month of June 2023 (INR in crore),Repurchase/Redemption for the month of June 2023 (INR in crore),"Net Assets Under Management as on June 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month June 2023 (INR in crore),"No. of segregat ed portfolios created as on June 30, 2023","Net Assets Under Management in segregated portfolio as on June 30, 2023 (INR in crore)"
Monthly Report for the month of June 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on June 30, 2023","No. of Folios as on June 30, 2023",Funds Mobilized for the month of June 2023 (INR in crore),Repurchase/Redemption for the month of June 2023 (INR in crore),"Net Assets Under Management as on June 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month June 2023 (INR in crore),"No. of segregat ed portfolios created as on June 30, 2023","Net Assets Under Management in segregated portfolio as on June 30, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,94,136","4,16,700.11","4,12,072.18","89,223.42","1,04,201.60",-,-
ii,Liquid Fund,36,"17,78,066","3,83,421.49","4,11,966.94","4,19,555.58","4,97,239.17",-,-
iii,Ultra Short Duration Fund,25,"6,37,819","18,357.09","20,243.66","97,161.27","99,418.43",-,-
iv,Low Duration Fund,21,"9,30,843","10,672.61","7,314.64","99,019.05","96,792.69",1,-
v,Money Market Fund,22,"4,28,088","34,749.13","27,922.10","1,40,034.52","1,38,006.29",-,-
vi,Short Duration Fund,25,"5,02,719","1,810.02","1,997.09","99,138.83","99,209.53",-,-
vii,Medium Duration Fund,15,"2,54,975",349.41,477.46,"27,349.42","27,483.14",3,-
viii,Medium to Long Duration Fund,12,"1,06,555",93.92,117.05,"9,883.63","9,900.76",-,-
ix,Long Duration Fund,7,"47,668",101.19,93.29,"9,183.13","9,254.31",-,-
x,Dynamic Bond Fund,22,"2,32,991",506.35,366.91,"30,210.28","30,166.17",-,-
xi,Corporate Bond Fund,21,"6,10,771","3,077.68","2,525.22","1,35,476.03","1,35,233.24",-,-
xii,Credit Risk Fund,15,"2,38,230",122.48,440.61,"24,324.53","24,479.58",3,-
xiii,Banking and PSU Fund,23,"2,89,473",504.82,"1,303.72","81,815.41","82,064.98",-,-
xiv,Gilt Fund,22,"1,80,688",628.87,232.55,"22,702.58","22,504.66",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,164",67.46,72.20,"4,230.47","4,233.98",-,-
xvi,Floater Fund,13,"2,32,214","6,193.17","4,345.68","58,174.50","56,859.02",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316,"72,07,400","8,77,355.80","8,91,491.32","13,47,482.62","14,37,047.55",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,19,"42,81,290","2,331.48","1,596.80","78,415.29","76,283.71",-,-
ii,Large Cap Fund,31,"1,29,37,115","3,084.97","5,134.58","2,59,583.23","2,54,471.92",-,-
iii,Large & Mid Cap Fund,26,"79,86,403","3,533.76","2,387.07","1,48,217.80","1,44,273.15",-,-
iv,Mid Cap Fund,29,"1,10,49,628","4,800.96","3,052.46","2,18,145.99","2,11,811.37",-,-
v,Small Cap Fund,24,"1,22,67,299","7,357.35","1,885.60","1,68,434.33","1,62,184.19",-,-
vi,Dividend Yield Fund,9,"7,52,821",582.84,185.24,"16,236.99","15,669.63",-,-
vii,Value Fund/Contra Fund,23,"49,36,198","3,482.84","1,243.76","1,04,685.73","1,01,451.32",-,-
viii,Focused Fund,27,"52,32,806","1,877.97","2,896.28","1,09,698.36","1,07,903.80",-,-
ix,Sectoral/Thematic Funds,130,"1,33,44,178","5,035.07","4,575.81","1,96,178.07","1,91,586.55",-,-
x,ELSS,43,"1,53,01,801","1,574.12","2,048.97","1,71,034.49","1,67,341.38",-,-
xi,Flexi Cap Fund,36,"1,27,84,279","4,380.38","4,397.68","2,72,743.17","2,66,987.02",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),397,"10,08,73,818","38,041.74","29,404.25","17,43,373.45","16,99,964.04",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,19,553",498.78,388.64,"24,158.37","24,019.10",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"52,91,966","2,217.60","2,606.61","1,66,686.77","1,64,481.63",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"44,30,919","3,516.25","3,730.78","2,04,997.11","2,02,963.96",-,-
iv,Multi Asset Allocation Fund,13,"11,39,849","1,778.26",454.96,"31,148.94","31,587.77",-,-
v,Arbitrage Fund,26,"4,35,281","9,754.83","6,389.07","80,625.35","93,046.67",-,-
vi,Equity Savings Fund,22,"3,62,326","1,038.88",623.35,"17,888.93","17,879.99",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),141,"1,21,79,894","18,804.59","14,193.41","5,25,505.46","5,33,979.13",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,74,489",234.07,155.46,"20,199.11","19,820.51",-,-
ii,Childrens Fund,10,"29,33,164",116.35,69.28,"15,887.98","15,628.44",-,-
,Sub Total - IV (i+ii),36,"57,07,653",350.42,224.74,"36,087.09","35,448.95",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,185,"44,95,761","3,458.51","4,364.25","1,75,468.05","1,75,540.56",-,-
ii,GOLD ETF,13,"47,52,363",203.65,133.32,"22,339.39","22,669.68",-,-
iii,Other ETFs,161,"1,21,24,531","7,638.46","4,236.10","5,38,872.98","5,26,095.63",-,-
iv,Fund of funds investing overseas,50,"13,48,079",293.19,803.13,"23,869.39","23,844.30",-,-
,Sub Total - V (i+ii+iii+iv),409,"2,27,20,734","11,593.81","9,536.81","7,60,549.81","7,48,150.18",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,299","14,86,89,499","9,46,146.35","9,44,850.52","44,12,998.43","44,54,589.86",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,92,"1,34,471",-,"2,199.02","19,564.33","20,818.37",-,-
ii,Capital Protection Oriented Schemes,3,"2,883",-,257.64,119.12,170.26,-,-
iii,Infrastructure Debt Fund,7,52,-,-,"2,055.17","2,050.38",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),102,"1,37,406",-,"2,456.66","21,738.61","23,039.01",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,92,193",-,34.80,"3,723.63","3,643.66",-,-
ii,Other Equity Schemes,5,"9,876",-,357.89,479.58,684.72,-,-
,Sub Total (i+ii),24,"3,02,069",-,392.69,"4,203.21","4,328.38",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,126,"4,39,475",-,"2,849.35","25,941.83","27,367.39",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,734",1.01,469.89,246.94,356.33,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,734",1.01,469.89,246.94,356.33,-,-
,,,,,,,,,
,Grand Total,"1,437","14,91,31,708","9,46,147.36","9,48,169.77","44,39,187.20","44,82,313.58",12,35.14
,,,,,,,,,
