Sr,Scheme Name,"No. of Schemesas on March 31, 2023","No. of Folios as on March 31, 2023",Funds Mobilized for the month of March 2023 (INR in crore),Repurchase/ Redemption for the month of March 2023 (INR in crore),"Net Assets Under Management as on March 31, 2023 (INR in crore)",Average Net Assets Under Management for the month March 2023 (INR in crore),"No. of segregated portfolios created as on March 31, 2023","Net Assets Under Management in segregated portfolio as on March 31, 2023 (INR in crore)"
Monthly Report for the month of March 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on March 31, 2023","No. of Folios as on March 31, 2023",Funds Mobilized for the month of March 2023 (INR in crore),Repurchase/ Redemption for the month of March 2023 (INR in crore),"Net Assets Under Management as on March 31, 2023 (INR in crore)",Average Net Assets Under Management for the month March 2023 (INR in crore),"No. of segregated portfolios created as on March 31, 2023","Net Assets Under Management in segregated portfolio as on March 31, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,28,550","4,76,647.40","4,84,785.64","95,625.58","1,23,909.32",-,-
ii,Liquid Fund,36,"17,73,500","3,21,565.80","3,78,489.93","3,32,498.15","4,09,884.68",-,-
iii,Ultra Short Duration Fund,25,"6,33,103","15,315.70","25,596.46","79,122.51","85,469.53",-,-
iv,Low Duration Fund,21,"9,40,074","9,534.35","15,714.00","86,692.53","89,490.96",1,-
v,Money Market Fund,22,"4,22,082","26,294.54","37,716.19","1,08,468.12","1,13,374.54",-,-
vi,Short Duration Fund,25,"5,07,214","8,246.82","8,565.85","91,238.61","90,588.81",-,-
vii,Medium Duration Fund,15,"2,56,052","2,071.68","1,102.74","27,090.56","25,912.64",3,-
viii,Medium to Long Duration Fund,12,"1,06,926",320.73,192.53,"8,894.71","8,704.95",-,-
ix,Long Duration Fund,7,"45,546","4,722.99",48.00,"8,797.88","4,647.66",-,-
x,Dynamic Bond Fund,22,"2,29,940","6,427.32",766.57,"29,286.89","24,019.39",-,-
xi,Corporate Bond Fund,21,"6,17,379","19,261.05","3,634.88","1,30,766.62","1,16,845.19",-,-
xii,Credit Risk Fund,15,"2,46,438","1,022.25",865.37,"24,776.35","24,364.04",3,-
xiii,Banking and PSU Fund,23,"2,97,318","9,253.45","2,757.20","80,517.19","73,613.89",-,-
xiv,Gilt Fund,22,"1,76,253","4,837.26",406.69,"21,458.10","17,472.81",-,-
xv,Gilt Fund with 10 year constant duration,5,"42,565","1,996.25",60.53,"3,759.84","2,034.20",-,-
xvi,Floater Fund,12,"2,36,780","1,993.38","5,692.53","52,988.71","55,216.51",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),315,"71,59,720","9,09,510.98","9,66,395.12","11,81,982.36","12,65,549.15",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,19,"41,42,895","1,726.04","1,009.07","67,337.88","67,168.32",-,-
ii,Large Cap Fund,31,"1,29,73,512","3,684.09","2,772.80","2,35,760.10","2,34,482.18",-,-
iii,Large & Mid Cap Fund,26,"78,09,179","3,211.62","1,592.76","1,27,841.82","1,26,809.63",-,-
iv,Mid Cap Fund,29,"1,06,12,983","3,942.92","1,813.99","1,83,255.54","1,83,088.76",-,-
v,Small Cap Fund,24,"1,08,99,311","3,747.11","1,317.07","1,33,383.69","1,32,944.50",-,-
vi,Dividend Yield Fund,9,"7,21,832","3,837.70",121.95,"13,994.08","12,320.89",-,-
vii,Value Fund/Contra Fund,22,"46,66,901","1,790.94",746.96,"90,583.60","89,947.66",-,-
viii,Focused Fund,26,"53,15,932","1,762.95","1,515.70","98,672.57","98,654.80",-,-
ix,Sectoral/Thematic Funds,126,"1,31,75,494","6,667.19","2,738.22","1,72,819.48","1,70,195.33",-,-
x,ELSS,43,"1,52,72,141","4,208.01","1,522.43","1,51,751.21","1,49,876.91",-,-
xi,Flexi Cap Fund,35,"1,27,01,619","4,062.26","2,955.66","2,41,682.54","2,40,773.82",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),390,"9,82,91,799","38,640.82","18,106.62","15,17,082.50","15,06,262.81",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,19,049",802.48,519.62,"23,170.18","22,786.74",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,17,925","1,909.96","1,938.78","1,53,898.71","1,53,839.51",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,28,"44,47,644","2,921.61","3,365.98","1,91,809.76","1,92,521.27",-,-
iv,Multi Asset Allocation Fund,11,"10,53,181",805.33,332.11,"26,590.89","27,672.54",-,-
v,Arbitrage Fund,26,"4,45,949","5,458.29","17,615.85","67,435.21","87,315.98",-,-
vi,Equity Savings Fund,22,"3,61,815",341.67,839.05,"16,012.07","16,864.40",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),138,"1,21,45,563","12,239.34","24,611.38","4,78,916.83","5,01,000.44",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,59,419",255.17,111.35,"17,993.42","17,856.06",-,-
ii,Childrens Fund,10,"29,27,533",122.36,42.21,"14,340.11","14,229.81",-,-
,Sub Total - IV (i+ii),36,"56,86,952",377.54,153.57,"32,333.53","32,085.87",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,177,"38,53,245","33,255.67","6,027.37","1,67,517.17","1,44,601.76",-,-
ii,GOLD ETF,12,"46,99,537",373.63,640.20,"22,736.99","21,942.13",-,-
iii,Other ETFs,160,"1,20,64,198","16,145.60","16,476.20","4,84,277.18","4,79,155.28",-,-
iv,Fund of funds investing overseas,50,"13,02,024",778.00,605.04,"22,991.15","21,868.53",-,-
,Sub Total - V (i+ii+iii+iv),399,"2,19,19,004","50,552.90","23,748.81","6,97,522.48","6,67,567.70",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,278","14,52,03,038","10,11,321.58","10,33,015.49","39,07,837.70","39,72,465.97",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,122,"1,54,962","3,878.10","1,466.34","24,372.45","22,366.76",-,-
ii,Capital Protection Oriented Schemes,7,"12,655",-,-,639.56,637.81,-,-
