Sr,Scheme Name,"No. of Schemesas on March, 2024","No. of Folios as on March, 2024",Funds Mobilized for the month of March 2024 (INR in crore),Repurchase/ Redemption for the month of March 2024 (INR in crore),"Net Assets Under Management as on March, 2024 (INR in crore)",Average Net Assets UnderManagement for the month March 2024 (INR in crore),"No. of segregat ed portfolios created as on March, 2024","Net Assets Under Management in segregated portfolio as on March, 2024 (INR in crore)"
Monthly Report for the month of March 2024,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on March, 2024","No. of Folios as on March, 2024",Funds Mobilized for the month of March 2024 (INR in crore),Repurchase/ Redemption for the month of March 2024 (INR in crore),"Net Assets Under Management as on March, 2024 (INR in crore)",Average Net Assets UnderManagement for the month March 2024 (INR in crore),"No. of segregat ed portfolios created as on March, 2024","Net Assets Under Management in segregated portfolio as on March, 2024 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"9,00,146","5,22,110.92","5,29,103.42","61,313.51","1,03,701.33",-,-
ii,Liquid Fund,36,"17,82,854","3,13,033.72","4,71,004.10","3,63,509.69","4,75,830.21",-,-
iii,Ultra Short Duration Fund,24,"6,33,208","18,962.13","28,097.08","83,560.91","90,056.33",-,-
iv,Low Duration Fund,20,"8,77,506","13,081.17","19,238.09","90,211.95","93,360.92",-,-
v,Money Market Fund,23,"4,30,626","44,179.10","52,898.86","1,48,893.11","1,54,270.05",1,-
vi,Short Duration Fund,23,"4,56,155","4,760.66","11,210.70","99,004.18","1,02,189.84",-,-
vii,Medium Duration Fund,15,"2,30,314",170.78,535.23,"25,975.53","26,040.67",3,-
viii,Medium to Long Duration Fund,12,"1,00,915",130.94,240.46,"10,497.49","10,479.98",-,-
ix,Long Duration Fund,9,"64,858",895.81,123.52,"12,768.59","12,380.64",-,-
x,Dynamic Bond Fund,22,"2,20,569",505.06,642.96,"31,617.13","31,604.60",-,-
xi,Corporate Bond Fund,21,"5,60,652","6,312.88","6,604.75","1,47,360.53","1,47,138.19",-,-
xii,Credit Risk Fund,14,"2,08,971",53.88,375.00,"23,141.35","23,212.91",3,-
xiii,Banking and PSU Fund,23,"2,57,714","3,153.68","2,922.00","80,890.54","80,385.67",-,-
xiv,Gilt Fund,21,"1,86,552","1,400.38","1,938.88","27,267.73","27,613.31",-,-
xv,Gilt Fund with 10 year constant duration,5,"38,142",122.30,64.26,"4,742.16","4,699.86",-,-
xvi,Floater Fund,13,"2,15,735","1,094.97","3,267.98","51,469.16","52,581.56",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),316,"71,64,917","9,29,968.38","11,28,267.28","12,62,223.57","14,35,546.05",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,24,"60,71,425","3,334.45","1,507.00","1,24,681.69","1,22,872.06",-,-
ii,Large Cap Fund,31,"1,36,68,455","5,661.97","3,534.19","3,14,154.57","3,10,340.58",-,-
iii,Large & Mid Cap Fund,29,"92,77,595","5,036.98","1,821.40","2,05,736.86","2,02,389.44",-,-
iv,Mid Cap Fund,29,"1,40,15,426","4,943.79","3,926.10","2,96,985.72","2,93,303.11",-,-
v,Small Cap Fund,27,"1,90,28,082","5,721.99","5,816.16","2,43,368.37","2,42,443.53",-,-
vi,Dividend Yield Fund,9,"8,77,410",615.71,293.17,"23,914.56","23,792.16",-,-
vii,Value Fund/Contra Fund,23,"61,78,068","2,988.00","1,279.85","1,49,098.82","1,47,986.61",-,-
viii,Focused Fund,28,"50,83,569","1,724.88","1,661.63","1,29,704.03","1,27,839.45",-,-
ix,Sectoral/Thematic Funds,160,"1,82,48,179","12,395.87","4,478.15","2,97,358.13","2,92,557.52",-,-
x,ELSS,42,"1,61,13,976","3,876.13","2,087.07","2,13,759.85","2,10,525.36",-,-
xi,Flexi Cap Fund,38,"1,42,59,500","6,421.66","3,683.55","3,50,186.42","3,46,366.41",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),440,"12,28,21,685","52,721.41","30,088.26","23,48,949.01","23,20,416.25",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,19,"5,37,555",401.80,398.07,"26,871.13","26,763.63",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"54,16,765","2,622.98","2,087.02","1,97,197.20","1,95,733.06",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,33,"46,15,533","4,751.19","3,018.60","2,48,797.60","2,47,668.36",-,-
iv,Multi Asset Allocation Fund,23,"20,24,071","3,448.33",766.87,"67,280.12","70,854.99",-,-
v,Arbitrage Fund,27,"4,91,203","20,793.70","21,091.38","1,53,008.58","1,78,849.06",-,-
vi,Equity Savings Fund,22,"4,09,279","2,202.60","1,275.06","29,567.46","29,784.23",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),155,"1,34,94,406","34,220.62","28,636.99","7,22,722.09","7,49,653.34",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,27,"28,65,115",275.77,143.41,"25,279.73","25,049.03",-,-
ii,Childrens Fund,11,"29,83,777",140.78,66.04,"18,967.30","18,834.68",-,-
,Sub Total - IV (i+ii),38,"58,48,892",416.55,209.44,"44,247.03","43,883.71",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,208,"75,76,546","6,413.55","4,591.14","2,13,657.47","2,11,999.72",-,-
ii,GOLD ETF,17,"50,60,791",690.18,316.81,"31,223.69","30,032.27",-,-
iii,Other ETFs,189,"1,37,67,925","20,857.69","10,297.93","6,64,000.09","6,55,207.68",-,-
iv,Fund of funds investing overseas,55,"15,57,288",551.50,514.29,"25,713.37","25,345.06",-,-
,Sub Total - V (i+ii+iii+iv),469,"2,79,62,550","28,512.92","15,720.17","9,34,594.62","9,22,584.74",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,418","17,72,92,450","10,45,839.87","12,02,922.15","53,12,736.32","54,72,084.09",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"71,976",318.92,"2,438.08","15,970.82","17,050.51",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,5,41,-,-,"1,632.30","1,626.99",-,-
iv,Other Debt Scheme,1,"2,11,951",27.78,53.26,"5,247.95","5,279.68",-,-
,Sub Total (i+ii+iii+iv),93,"2,83,968",346.70,"2,491.34","22,851.06","23,957.18",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,18,"2,77,840",-,57.55,"4,088.21","4,085.46",-,-
ii,Other Equity Schemes,-,-,-,-,-,-,-,-
,Sub Total (i+ii),18,"2,77,840",-,57.55,"4,088.21","4,085.46",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,111,"5,61,808",346.70,"2,548.89","26,939.27","28,042.64",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,502",0.01,102.68,519.05,600.83,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,502",0.01,102.68,519.05,600.83,-,-
,,,,,,,,,
,Grand Total,"1,541","17,78,56,760","10,46,186.58","12,05,573.72","53,40,194.64","55,00,727.56",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  80,"21,13,656",934.63,845.83,"76,396.58","75,721.45",-,-
