Sr,Scheme Name,"No. of Schemesas on May 31, 2022","No. of Folios as on May 31, 2022",Funds Mobilized for the month of May 2022 (INR in crore),Repurchase/ Redemption for the month of May 2022 (INR in crore),"Net Assets Under Management as on May 31, 2022 (INR in crore)",Average Net Assets Under Management for the month May 2022 (INR in crore),"No. of segregated portfolios created as on May 31, 2022","Net Assets Under Management in segregated portfolio as on May 31, 2022 (INR in crore)"
Monthly Report for the month of May 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on May 31, 2022","No. of Folios as on May 31, 2022",Funds Mobilized for the month of May 2022 (INR in crore),Repurchase/ Redemption for the month of May 2022 (INR in crore),"Net Assets Under Management as on May 31, 2022 (INR in crore)",Average Net Assets Under Management for the month May 2022 (INR in crore),"No. of segregated portfolios created as on May 31, 2022","Net Assets Under Management in segregated portfolio as on May 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"5,85,062","4,81,769.34","4,66,698.45","1,23,029.97","1,36,494.28",-,-
ii,Liquid Fund,37,"17,46,868","2,45,143.87","2,43,366.99","3,78,743.93","3,75,867.95",-,-
iii,Ultra Short Duration Fund,27,"6,15,426","11,883.16","18,988.11","96,331.99","1,00,701.29",-,-
iv,Low Duration Fund,22,"10,27,226","8,129.58","14,845.88","1,07,762.80","1,11,473.75",1,-
v,Money Market Fund,20,"4,14,354","14,844.94","29,443.60","1,16,260.30","1,25,223.32",-,-
vi,Short Duration Fund,25,"5,55,760","1,822.68","10,425.71","1,02,556.85","1,07,755.15",-,-
vii,Medium Duration Fund,16,"2,72,693",169.38,"1,391.78","30,036.34","30,516.60",4,130.45
viii,Medium to Long Duration Fund,13,"1,13,683",34.73,283.18,"9,258.89","9,381.09",-,-
ix,Long Duration Fund,2,"24,068",40.33,42.58,"2,466.38","2,472.26",-,-
x,Dynamic Bond Fund,25,"2,26,595",219.75,"2,634.03","22,342.31","22,840.38",1,50.03
xi,Corporate Bond Fund,21,"6,45,312","2,755.97","4,902.47","1,24,499.51","1,26,221.07",-,-
xii,Credit Risk Fund,15,"2,66,016",151.32,880.92,"26,588.78","26,826.95",4,66.29
xiii,Banking and PSU Fund,22,"3,20,548","2,397.85","3,518.86","88,745.18","89,936.77",-,-
xiv,Gilt Fund,21,"1,74,343",533.42,357.77,"15,108.84","15,107.41",-,-
xv,Gilt Fund with 10 year constant duration,4,"43,242",502.96,55.64,"1,708.98","1,565.87",-,-
xvi,Floater Fund,12,"2,56,330","1,951.15","7,236.70","76,832.59","79,700.51",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),312,"72,87,526","7,72,350.42","8,05,072.67","13,22,273.65","13,62,084.65",10,246.77
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"33,08,382","1,698.86",433.85,"54,714.45","53,375.43",-,-
ii,Large Cap Fund,31,"1,26,60,337","4,422.16","1,936.80","2,19,835.52","2,14,430.81",-,-
iii,Large & Mid Cap Fund,27,"69,79,727","3,359.37",945.86,"1,08,775.63","1,06,027.93",-,-
iv,Mid Cap Fund,26,"90,14,944","3,342.32","1,510.78","1,55,831.89","1,52,915.82",-,-
v,Small Cap Fund,24,"83,30,982","2,947.11","1,178.03","1,04,738.77","1,03,407.67",-,-
vi,Dividend Yield Fund,8,"5,79,754",154.27,73.43,"9,565.15","9,418.06",-,-
vii,Value Fund/Contra Fund,22,"41,14,712","1,746.43",588.42,"77,908.18","76,312.55",-,-
viii,Focused Fund,26,"51,86,385","2,480.14",931.64,"93,943.44","91,728.44",-,-
ix,Sectoral/Thematic Funds,118,"1,23,03,099","4,805.19","2,513.40","1,46,708.85","1,43,476.62",-,-
x,ELSS,39,"1,41,12,957","1,668.76",921.92,"1,40,800.32","1,38,087.55",-,-
