Sr,Scheme Name,"No. of Schemes as on November 30, 2021","No. of Folios as on November 30, 2021",Funds Mobilized for the month of November 2021 (INR in crore),Repurchase/ Redemption for the month of November 2021 (INR in crore),"Net Assets Under Management as on November 30, 2021 (INR in crore)",Average Net Assets Under Management for the month November 2021 (INR in crore),"No. of segregated portfolios created as on November 30, 2021","Net Assets Under Management in segregated portfolio as on November 30, 2021 (INR in crore)"
Monthly Report for the month of November 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on November 30, 2021","No. of Folios as on November 30, 2021",Funds Mobilized for the month of November 2021 (INR in crore),Repurchase/ Redemption for the month of November 2021 (INR in crore),"Net Assets Under Management as on November 30, 2021 (INR in crore)",Average Net Assets Under Management for the month November 2021 (INR in crore),"No. of segregated portfolios created as on November 30, 2021","Net Assets Under Management in segregated portfolio as on November 30, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"3,02,779","3,79,809.55","3,91,933.01","89,093.71","1,15,724.67",-,-
ii,Liquid Fund,39,"19,42,065","2,77,564.82","2,24,313.54","3,69,014.99","3,68,710.82",-,-
iii,Ultra Short Duration Fund,28,"6,42,763","16,634.28","21,204.98","96,333.30","98,622.56",-,-
iv,Low Duration Fund,24,"11,25,302","15,025.78","21,699.98","1,38,356.25","1,41,711.03",2,14.64
v,Money Market Fund,20,"4,37,205","24,928.71","25,423.13","1,21,079.43","1,20,303.28",-,-
vi,Short Duration Fund,27,"6,20,008","7,139.11","6,653.28","1,41,278.17","1,40,233.86",1,11.74
vii,Medium Duration Fund,16,"2,97,730","1,211.18","1,739.72","35,919.55","36,316.73",6,328.44
viii,Medium to Long Duration Fund,13,"1,20,097","1,054.88",153.92,"14,141.05","13,678.61",1,16.56
ix,Long Duration Fund,2,"25,703",23.26,18.69,"2,618.95","2,598.74",-,-
x,Dynamic Bond Fund,26,"2,47,463",858.58,"1,620.45","27,318.33","27,980.91",2,129.05
xi,Corporate Bond Fund,20,"6,97,848","3,454.93","8,048.36","1,56,155.08","1,58,221.64",-,-
xii,Credit Risk Fund,16,"2,81,760",637.04,385.86,"28,356.03","28,108.76",8,232.65
xiii,Banking and PSU Fund,22,"3,55,192","1,493.84","5,687.17","1,13,169.43","1,15,356.52",-,-
xiv,Gilt Fund,21,"1,89,553",639.45,"1,504.82","16,576.97","16,931.26",-,-
xv,Gilt Fund with 10 year constant duration,4,"48,748",62.27,88.50,"1,415.00","1,411.52",-,-
xvi,Floater Fund,12,"2,85,575","5,569.18","10,738.38","1,01,222.07","1,05,280.92",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),320,"76,19,791","7,36,106.87","7,21,213.78","14,52,048.31","14,91,191.84",20,733.08
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,12,"19,38,528",771.84,424.22,"31,543.38","32,835.42",-,-
ii,Large Cap Fund,33,"1,17,40,508","4,352.16","2,727.76","2,14,414.30","2,23,295.22",-,-
iii,Large & Mid Cap Fund,28,"59,76,466","2,473.54","1,248.13","1,00,135.10","1,03,449.44",-,-
iv,Mid Cap Fund,28,"80,14,405","3,256.08","1,976.32","1,52,893.94","1,58,045.33",-,-
v,Small Cap Fund,25,"68,49,028","2,347.49","1,565.84","1,00,479.09","1,02,358.11",-,-
