Sr,Scheme Name,"No. of Schemesas on November 30, 2022","No. of Folios as on November 30, 2022",Funds Mobilized for the month of November 2022 (INR in crore),Repurchase/ Redemption for the month of November 2022 (INR in crore),"Net Assets Under Management as on November 30, 2022 (INR in crore)",Average Net Assets Under Management for the month November 2022 (INR in crore),"No. of segregated portfolios created as on November 30, 2022","Net Assets Under Management in segregated portfolio as on November 30, 2022 (INR in crore)"
Monthly Report for the month of November 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on November 30, 2022","No. of Folios as on November 30, 2022",Funds Mobilized for the month of November 2022 (INR in crore),Repurchase/ Redemption for the month of November 2022 (INR in crore),"Net Assets Under Management as on November 30, 2022 (INR in crore)",Average Net Assets Under Management for the month November 2022 (INR in crore),"No. of segregated portfolios created as on November 30, 2022","Net Assets Under Management in segregated portfolio as on November 30, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,19,181","4,08,744.62","4,40,672.87","1,03,324.44","1,41,582.80",-,-
ii,Liquid Fund,36,"17,68,502","3,14,709.78","2,80,433.34","4,09,715.00","4,20,618.92",-,-
iii,Ultra Short Duration Fund,25,"6,30,915","12,753.94","15,635.97","86,350.33","88,205.57",-,-
iv,Low Duration Fund,21,"9,74,624","6,488.19","6,571.94","93,927.03","93,564.75",1,-
v,Money Market Fund,22,"4,24,007","20,369.55","15,427.23","1,11,454.79","1,08,312.11",-,-
vi,Short Duration Fund,25,"5,20,688","2,299.06","4,212.78","94,126.18","94,769.37",-,-
vii,Medium Duration Fund,15,"2,55,023",254.21,717.98,"27,762.27","27,855.71",3,-
viii,Medium to Long Duration Fund,12,"1,07,203",39.20,148.88,"8,867.06","8,878.37",-,-
ix,Long Duration Fund,3,"26,293",187.40,19.11,"3,126.54","3,046.77",-,-
x,Dynamic Bond Fund,23,"2,17,928",915.54,571.07,"22,936.58","22,690.56",-,-
