Sr,Scheme Name,"No. of Schemes as on October, 2021","No. of Folios as on October, 2021",Funds Mobilized for the month of October 2021 (INR in crore),Repurchase/ Redemption for the month of October 2021 (INR in crore),"Net Assets Under Management as on October, 2021 (INR in crore)",Average Net Assets Under Management for the month October 2021(INR in crore),"No. of segregated portfolios created as on  October, 2021","Net Assets Under Management in segregated portfolio as on October, 2021 (INR in crore)"
Monthly Report for the month of October 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on October, 2021","No. of Folios as on October, 2021",Funds Mobilized for the month of October 2021 (INR in crore),Repurchase/ Redemption for the month of October 2021 (INR in crore),"Net Assets Under Management as on October, 2021 (INR in crore)",Average Net Assets Under Management for the month October 2021(INR in crore),"No. of segregated portfolios created as on  October, 2021","Net Assets Under Management in segregated portfolio as on October, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,55,086","3,63,791.08","3,57,453.80","1,00,904.67","1,15,746.95",-,-
ii,Liquid Fund,39,"21,01,380","2,02,192.86","2,12,392.41","3,14,547.86","3,54,763.69",-,-
iii,Ultra Short Duration Fund,28,"6,48,545","21,113.48","16,601.70","1,00,567.22","1,01,390.90",-,-
iv,Low Duration Fund,24,"11,42,706","22,695.96","18,493.00","1,44,604.65","1,44,950.35",2,14.72
v,Money Market Fund,20,"4,43,647","33,325.11","29,555.73","1,21,141.41","1,25,438.83",-,-
vi,Short Duration Fund,27,"6,30,028","6,912.38","9,578.78","1,40,166.21","1,41,828.93",1,11.81
vii,Medium Duration Fund,16,"3,00,864","2,067.24",756.22,"36,251.15","35,168.46",6,328.38
viii,Medium to Long Duration Fund,13,"1,20,956",561.46,165.03,"13,138.11","12,801.98",1,16.41
ix,Long Duration Fund,2,"25,952",17.63,42.74,"2,569.58","2,584.52",-,-
x,Dynamic Bond Fund,26,"2,49,519","2,364.86",552.96,"27,888.11","26,753.04",2,128.99
xi,Corporate Bond Fund,20,"7,09,055","4,198.42","5,073.50","1,59,919.56","1,60,854.73",-,-
xii,Credit Risk Fund,16,"2,83,711",743.89,535.70,"27,939.69","27,873.92",8,232.01
xiii,Banking and PSU Fund,22,"3,61,198","4,943.11","6,194.71","1,16,866.47","1,17,461.77",-,-
xiv,Gilt Fund,21,"1,91,684",628.41,215.56,"17,311.65","17,093.81",-,-
xv,Gilt Fund with 10 year constant duration,4,"49,627",40.90,50.31,"1,426.11","1,435.13",-,-
xvi,Floater Fund,12,"2,85,543","12,606.02","7,556.27","1,06,087.63","1,03,340.11",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),320,"76,99,501","6,78,202.80","6,65,218.42","14,31,330.07","14,89,487.12",20,732.32
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,12,"18,92,842",826.46,488.04,"31,927.04","32,348.73",-,-
