Sr,Scheme Name,"No. of Schemesas on October 31, 2022","No. of Folios  as on October 31, 2022",Funds Mobilized for the month of October 2022 (INR in crore),Repurchase/ Redemption for the month of October 2022 (INR in crore),"Net Assets Under Management as on October 31, 2022 (INR in crore)",Average Net Assets Under Management for the month October 2022 (INR in crore),"No. of segregated portfolios created as on October 31, 2022","Net Assets Under Management in segregated portfolio as on October 31, 2022 (INR in crore)"
Monthly Report for the month of October 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on October 31, 2022","No. of Folios  as on October 31, 2022",Funds Mobilized for the month of October 2022 (INR in crore),Repurchase/ Redemption for the month of October 2022 (INR in crore),"Net Assets Under Management as on October 31, 2022 (INR in crore)",Average Net Assets Under Management for the month October 2022 (INR in crore),"No. of segregated portfolios created as on October 31, 2022","Net Assets Under Management in segregated portfolio as on October 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,33,"6,16,496","4,30,592.20","4,38,097.59","1,34,583.00","1,53,046.83",-,-
ii,Liquid Fund,37,"17,57,482","2,51,881.01","2,32,796.41","3,73,212.25","3,88,186.31",-,-
iii,Ultra Short Duration Fund,26,"6,23,263","12,480.85","13,626.14","88,736.88","91,398.26",-,-
iv,Low Duration Fund,22,"9,80,104","8,231.34","10,891.78","93,462.25","97,692.48",1,-
v,Money Market Fund,22,"4,20,525","17,231.02","19,227.34","1,05,882.56","1,10,195.04",-,-
vi,Short Duration Fund,26,"5,25,948","1,921.30","4,387.38","95,272.33","96,398.44",-,-
vii,Medium Duration Fund,15,"2,57,213",246.43,600.32,"27,959.87","28,059.92",3,-
viii,Medium to Long Duration Fund,12,"1,07,949",57.30,133.79,"8,877.93","8,892.16",-,-
ix,Long Duration Fund,3,"26,248",82.43,16.11,"2,904.70","2,866.93",-,-
x,Dynamic Bond Fund,24,"2,17,337",357.10,365.13,"22,144.97","22,154.68",-,-
xi,Corporate Bond Fund,21,"6,29,312","1,208.26","2,742.04","1,11,714.86","1,12,108.41",-,-
xii,Credit Risk Fund,15,"2,55,956",152.90,560.75,"25,534.67","25,658.96",3,-
xiii,Banking and PSU Fund,23,"3,10,655",439.38,"1,976.92","76,457.01","76,977.02",-,-
xiv,Gilt Fund,22,"1,70,202",279.06,132.76,"15,899.36","15,807.50",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,302",59.71,39.52,"1,521.99","1,509.60",-,-
xvi,Floater Fund,12,"2,46,784","2,281.75","4,725.89","60,637.73","61,455.11",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),318,"71,88,776","7,27,502.06","7,30,319.86","12,44,802.35","12,92,407.67",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,15,"36,76,860","1,596.90",707.64,"65,285.79","63,531.17",-,-
