Sr,Scheme Name,"No. of Schemesas on October 31, 2023","No. of Folios  as on October 31, 2023",Funds Mobilized for the month of October 2023 (INR in crore),Repurchase/ Redemption for the month of October 2023 (INR in crore),"Net Assets Under Management as on October 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month October 2023 (INR in crore),"No. of segregat ed portfolios created as on October 31, 2023","Net Assets Under Management in segregated portfolio as on October 31, 2023 (INR in crore)"
Monthly Report for the month of October 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on October 31, 2023","No. of Folios  as on October 31, 2023",Funds Mobilized for the month of October 2023 (INR in crore),Repurchase/ Redemption for the month of October 2023 (INR in crore),"Net Assets Under Management as on October 31, 2023 (INR in crore)",Average Net Assets UnderManagement for the month October 2023 (INR in crore),"No. of segregat ed portfolios created as on October 31, 2023","Net Assets Under Management in segregated portfolio as on October 31, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,35,"8,10,709","4,78,285.12","4,81,729.91","79,191.61","1,04,291.70",-,-
ii,Liquid Fund,36,"17,88,040","3,28,615.37","2,95,651.57","4,13,784.73","4,39,660.80",-,-
iii,Ultra Short Duration Fund,24,"6,42,181","17,055.28","14,696.24","95,271.55","95,811.33",-,-
iv,Low Duration Fund,20,"9,12,380","11,112.10","12,253.66","1,05,731.32","1,08,904.06",-,-
v,Money Market Fund,23,"4,40,649","30,966.96","24,718.50","1,49,401.78","1,48,161.98",1,-
vi,Short Duration Fund,23,"4,83,490","3,173.06","1,892.49","99,908.99","99,497.46",-,-
vii,Medium Duration Fund,15,"2,44,807",125.61,518.75,"26,696.06","26,801.21",3,-
viii,Medium to Long Duration Fund,12,"1,04,197",250.46,163.12,"10,243.83","10,213.89",-,-
ix,Long Duration Fund,7,"47,276",232.89,47.66,"9,701.52","9,582.01",-,-
x,Dynamic Bond Fund,22,"2,25,769",588.24,474.56,"30,588.98","30,583.53",-,-
xi,Corporate Bond Fund,21,"5,98,670","4,509.41","2,569.69","1,40,177.20","1,39,150.15",-,-
xii,Credit Risk Fund,14,"2,24,249",219.24,360.84,"23,909.45","23,882.98",3,-
xiii,Banking and PSU Fund,22,"2,70,881",803.42,"1,122.62","79,582.62","79,352.15",-,-
xiv,Gilt Fund,21,"1,80,231","2,760.21",759.61,"25,959.64","25,301.94",-,-
