Sr,Scheme Name,"No. of Schemes as on September 30, 2021","No. of Folios as on September 30, 2021",Funds Mobilized for the month of September 2021 (INR in crore),Repurchase/ Redemption for the month of September 2021 (INR in crore),"Net Assets Under Management as on September 30, 2021 (INR in crore)",Average Net Assets Under Management for the month September 2021 (INR in crore),"No. of segregated portfolios created as on September 30, 2021","Net Assets Under Management in segregated portfolio as on September 30, 2021 (INR in crore)"
Monthly Report for the month of September 2021,,,,,,,,,
Sr,Scheme Name,"No. of Schemes as on September 30, 2021","No. of Folios as on September 30, 2021",Funds Mobilized for the month of September 2021 (INR in crore),Repurchase/ Redemption for the month of September 2021 (INR in crore),"Net Assets Under Management as on September 30, 2021 (INR in crore)",Average Net Assets Under Management for the month September 2021 (INR in crore),"No. of segregated portfolios created as on September 30, 2021","Net Assets Under Management in segregated portfolio as on September 30, 2021 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,30,"1,25,159","3,65,925.62","3,49,613.58","94,273.39","89,975.24",-,-
ii,Liquid Fund,39,"21,23,358","2,37,925.11","2,86,304.29","3,23,838.05","3,69,249.77",-,-
iii,Ultra Short Duration Fund,28,"6,49,848","18,613.57","29,522.52","95,827.79","1,03,448.02",-,-
iv,Low Duration Fund,24,"11,51,054","20,049.44","36,658.69","1,40,103.42","1,49,712.50",2,28.35
v,Money Market Fund,20,"4,81,622","30,995.52","39,428.95","1,17,091.79","1,27,018.94",-,-
vi,Short Duration Fund,27,"6,37,927","5,446.98","5,382.50","1,42,653.40","1,43,184.79",1,22.74
vii,Medium Duration Fund,16,"3,01,674","2,965.54",866.90,"34,912.79","34,275.21",6,330.25
viii,Medium to Long Duration Fund,13,"1,21,331","1,288.49",169.78,"12,764.59","12,424.12",1,16.27
ix,Long Duration Fund,2,"26,246",22.25,32.11,"2,620.42","2,615.41",-,-
x,Dynamic Bond Fund,26,"2,51,399",917.96,494.15,"26,081.12","25,938.07",2,128.93
xi,Corporate Bond Fund,20,"7,17,992","5,318.38","6,752.59","1,60,354.64","1,62,433.13",-,-
xii,Credit Risk Fund,16,"2,84,963",886.07,489.52,"27,670.31","27,303.81",8,231.41
xiii,Banking and PSU Fund,22,"3,65,643","1,981.17","6,385.51","1,18,001.08","1,20,931.37",-,-
xiv,Gilt Fund,21,"1,93,648",862.02,810.94,"16,924.89","17,012.17",-,-
xv,Gilt Fund with 10 year constant duration,4,"50,529",69.32,136.89,"1,442.11","1,525.54",-,-
xvi,Floater Fund,12,"2,78,617","14,255.51","8,384.24","1,00,856.84","99,946.91",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),320,"77,61,010","7,07,522.95","7,71,433.18","14,15,416.61","14,86,994.99",20,757.95
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,12,"18,35,717","4,138.86",569.41,"31,442.41","27,838.25",-,-
ii,Large Cap Fund,33,"1,13,85,481","4,253.56","4,239.66","2,18,332.30","2,17,576.75",-,-
iii,Large & Mid Cap Fund,28,"56,90,368","2,447.91","2,189.67","99,628.51","99,131.73",-,-
iv,Mid Cap Fund,28,"76,84,684","4,361.58","3,010.61","1,53,023.64","1,51,184.21",-,-
v,Small Cap Fund,25,"63,96,133","2,992.35","3,241.09","98,014.17","96,657.27",-,-
vi,Dividend Yield Fund,8,"5,42,982",153.29,171.69,"9,450.47","9,367.41",-,-
vii,Value Fund/Contra Fund,21,"38,87,509","1,587.92","1,705.25","76,427.43","75,386.93",-,-
viii,Focused Fund,27,"45,34,024","2,348.89","2,234.44","91,829.12","91,656.51",-,-
ix,Sectoral/Thematic Funds,112,"99,03,316","6,479.94","3,861.67","1,36,722.55","1,34,902.43",-,-
x,ELSS,42,"1,29,69,205","1,340.77","2,212.85","1,49,424.10","1,48,933.19",-,-
xi,Flexi Cap Fund,28,"1,02,21,008","6,551.57","4,542.90","2,15,352.51","2,13,143.84",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),364,"7,50,50,427","36,656.66","27,979.25","12,79,647.20","12,65,778.52",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"4,63,166",820.28,394.62,"18,087.44","17,798.80",2,44.98
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,34,"48,62,337","2,890.77","3,110.29","1,44,024.08","1,43,452.51",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,24,"35,27,506","8,131.46","2,897.97","1,49,883.93","1,47,500.60",-,-
iv,Multi Asset Allocation Fund,10,"7,43,429",708.04,466.83,"17,948.15","18,292.28",-,-
v,Arbitrage Fund,26,"5,64,998","8,202.89","11,212.02","1,05,975.07","1,20,739.02",-,-
vi,Equity Savings Fund,23,"3,14,134","1,587.73",671.85,"14,246.41","14,291.18",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),138,"1,04,75,570","22,341.16","18,753.57","4,50,165.06","4,62,074.39",6,80.12
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,25,"26,48,701",208.97,151.40,"16,152.35","16,035.00",-,-
ii,Childrens Fund,10,"28,80,887",81.45,57.91,"12,797.82","12,726.73",-,-
,Sub Total - IV (i+ii),35,"55,29,588",290.42,209.31,"28,950.17","28,761.72",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,53,"16,22,449","4,264.08","1,159.73","33,824.26","31,906.83",-,-
ii,GOLD ETF,11,"24,59,250",458.51,12.82,"16,336.82","16,247.77",-,-
iii,Other ETFs,103,"69,05,096","11,467.15","3,806.91","3,62,936.91","3,56,515.42",-,-
iv,Fund of funds investing overseas,38,"10,47,097",905.72,495.71,"21,126.84","21,601.09",-,-
,Sub Total - V (i+ii+iii+iv),205,"1,20,33,892","17,095.46","5,475.17","4,34,224.83","4,26,271.10",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,062","11,08,50,487","7,83,906.65","8,23,850.48","36,08,403.89","36,69,880.71",26,838.07
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,306,"2,04,162",493.39,"5,473.34","48,548.91","51,593.73",-,-
ii,Capital Protection Oriented Schemes,13,"30,600",-,103.73,"1,602.90","1,704.92",-,-
iii,Infrastructure Debt Fund,8,80,-,-,"1,879.89","2,005.70",-,-
iv,Other Debt Scheme,1,718,-,-,60.52,60.68,-,-
,Sub Total (i+ii+iii+iv),328,"2,35,560",493.39,"5,577.07","52,092.22","55,365.02",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,20,"3,25,287",-,113.48,"4,026.34","4,777.96",-,-
ii,Other Equity Schemes,31,"2,55,224",-,"2,107.55","9,260.81","10,623.29",-,-
,Sub Total (i+ii),51,"5,80,511",-,"2,221.03","13,287.14","15,401.25",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,379,"8,16,071",493.39,"7,798.10","65,379.37","70,766.27",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,21,"3,218",0.07,8.87,109.88,144.39,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,21,"3,218",0.07,8.87,109.88,144.39,-,-
,,,,,,,,,
,Grand Total,"1,462","11,16,69,776","7,84,400.11","8,31,657.45","36,73,893.13","37,40,791.37",26,838.07
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##   59,"14,93,491","2,056.19",641.79,"38,991.56","38,377.43",-,-
