Sr,Scheme Name,"No. of Schemesas on September 30, 2022","No. of Folios as on September 30, 2022",Funds Mobilized for the month of September 2022 (INR in crore),Repurchase/ Redemption for the month of September 2022 (INR in crore),"Net Assets Under Management as on September 30, 2022 (INR in crore)",Average Net Assets Under Management for the month September 2022 (INR in crore),"No. of segregated portfolios created as on September 30, 2022","Net Assets Under Management in segregated portfolio as on September 30, 2022 (INR in crore)"
Monthly Report for the month of September 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on September 30, 2022","No. of Folios as on September 30, 2022",Funds Mobilized for the month of September 2022 (INR in crore),Repurchase/ Redemption for the month of September 2022 (INR in crore),"Net Assets Under Management as on September 30, 2022 (INR in crore)",Average Net Assets Under Management for the month September 2022 (INR in crore),"No. of segregated portfolios created as on September 30, 2022","Net Assets Under Management in segregated portfolio as on September 30, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,11,525","5,52,502.99","5,19,374.66","1,41,319.78","1,33,564.03",-,-
ii,Liquid Fund,37,"17,53,272","2,99,102.84","3,59,073.14","3,52,213.14","4,19,855.51",-,-
iii,Ultra Short Duration Fund,26,"6,21,847","13,749.01","22,202.81","89,480.74","96,696.22",-,-
iv,Low Duration Fund,22,"9,86,513","7,331.80","14,991.65","95,673.48","1,01,883.13",1,-
v,Money Market Fund,22,"4,20,264","21,219.66","32,451.72","1,07,379.30","1,15,590.11",-,-
vi,Short Duration Fund,26,"5,30,585","3,508.97","4,539.83","97,272.50","99,473.39",-,-
vii,Medium Duration Fund,15,"2,58,984",266.21,935.29,"28,203.83","28,727.49",3,-
viii,Medium to Long Duration Fund,12,"1,08,680",43.51,133.09,"8,926.80","9,029.59",-,-
ix,Long Duration Fund,3,"26,259",154.49,43.73,"2,828.43","2,772.25",-,-
x,Dynamic Bond Fund,24,"2,18,018",355.05,"1,108.43","22,083.90","22,614.04",-,-
xi,Corporate Bond Fund,21,"6,32,920",884.83,"3,810.59","1,12,782.60","1,14,265.58",-,-
xii,Credit Risk Fund,15,"2,58,089",158.98,650.95,"25,821.13","26,106.29",3,-
xiii,Banking and PSU Fund,23,"3,14,405",801.10,"5,026.15","77,677.77","80,401.09",-,-
xiv,Gilt Fund,22,"1,71,195",338.07,331.42,"15,700.26","15,731.52",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,862",67.52,66.32,"1,498.84","1,520.00",-,-
xvi,Floater Fund,12,"2,48,588","3,298.09","4,415.74","62,811.57","64,005.65",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),317,"72,05,006","9,03,783.12","9,69,155.52","12,41,674.09","13,32,235.88",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"35,98,855","1,679.53",954.82,"62,435.41","63,079.86",-,-
ii,Large Cap Fund,31,"1,28,73,410","3,491.52","3,217.34","2,33,619.48","2,38,986.66",-,-
