Sr,Scheme Name,"No. of Schemesas on September 30, 2023","No. of Folios as on September 30, 2023",Funds Mobilized for the month of September 2023 (INR in crore),Repurchase/ Redemption for the month of September 2023 (INR in crore),"Net Assets Under Management as on September 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month September 2023 (INR in crore),"No. of segregat ed portfolios created as on September 30, 2023","Net Assets Under Management in segregated portfolio as on September 30, 2023 (INR in crore)"
Monthly Report for the month of September 2023,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on September 30, 2023","No. of Folios as on September 30, 2023",Funds Mobilized for the month of September 2023 (INR in crore),Repurchase/ Redemption for the month of September 2023 (INR in crore),"Net Assets Under Management as on September 30, 2023 (INR in crore)",Average Net Assets UnderManagement for the month September 2023 (INR in crore),"No. of segregat ed portfolios created as on September 30, 2023","Net Assets Under Management in segregated portfolio as on September 30, 2023 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,34,"7,87,375","4,20,060.52","4,21,334.94","82,048.34","1,03,928.88",-,-
ii,Liquid Fund,36,"17,97,810","2,99,742.94","3,73,919.49","3,78,356.39","4,49,135.33",-,-
iii,Ultra Short Duration Fund,24,"6,44,072","16,936.93","22,104.90","92,386.35","96,954.38",-,-
iv,Low Duration Fund,20,"9,16,847","13,449.96","14,412.50","1,06,354.11","1,06,626.18",-,-
v,Money Market Fund,23,"4,39,558","26,293.30","35,451.24","1,42,307.38","1,47,645.03",1,-
vi,Short Duration Fund,23,"4,89,352","5,369.20","6,929.32","98,287.50","98,945.48",-,-
vii,Medium Duration Fund,15,"2,47,469",137.09,556.01,"27,027.15","27,184.02",3,-
viii,Medium to Long Duration Fund,12,"1,05,080",76.24,94.06,"10,164.55","10,174.59",-,-
ix,Long Duration Fund,7,"47,417",81.56,59.47,"9,570.09","9,606.07",-,-
x,Dynamic Bond Fund,22,"2,27,917",348.69,685.35,"30,470.29","30,581.83",-,-
xi,Corporate Bond Fund,21,"6,04,977","3,625.73","6,085.22","1,37,775.07","1,39,163.63",-,-
xii,Credit Risk Fund,14,"2,27,228",86.74,401.67,"23,929.93","24,032.09",3,-
xiii,Banking and PSU Fund,22,"2,74,697",864.05,"1,921.30","79,633.75","80,129.15",-,-
xiv,Gilt Fund,21,"1,80,961",587.90,310.30,"23,958.70","23,880.13",-,-
xv,Gilt Fund with 10 year constant duration,5,"40,773",54.55,58.18,"4,025.86","4,019.53",-,-
xvi,Floater Fund,13,"2,28,427","4,614.49","9,517.74","58,909.81","62,762.19",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),312,"72,59,960","7,92,329.88","8,93,841.70","13,05,205.27","14,14,768.49",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,22,"48,31,118","3,516.39","1,281.87","93,756.74","92,878.74",-,-
ii,Large Cap Fund,30,"1,30,47,923","3,631.43","3,742.04","2,67,581.89","2,68,968.26",-,-
iii,Large & Mid Cap Fund,26,"82,99,513","3,760.20","2,426.01","1,63,175.58","1,63,273.17",-,-
iv,Mid Cap Fund,29,"1,19,56,147","5,234.56","3,233.68","2,45,496.15","2,44,793.75",-,-
v,Small Cap Fund,24,"1,46,84,798","6,874.35","4,195.88","1,98,483.22","1,98,073.91",-,-
vi,Dividend Yield Fund,9,"7,85,733",428.01,173.39,"18,581.44","18,466.02",-,-
vii,Value Fund/Contra Fund,23,"53,08,373","2,539.95","1,248.92","1,17,251.12","1,16,627.69",-,-
viii,Focused Fund,27,"51,59,456","2,110.93","2,061.99","1,13,547.57","1,14,010.50",-,-
ix,Sectoral/Thematic Funds,140,"1,43,15,827","7,167.14","4,020.29","2,20,141.61","2,19,524.05",-,-
x,ELSS,42,"1,54,23,310","1,587.50","1,728.65","1,79,802.65","1,80,590.33",-,-
xi,Flexi Cap Fund,37,"1,31,61,385","5,304.88","3,951.37","2,90,269.65","2,91,155.59",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),409,"10,69,73,583","42,155.36","28,064.10","19,08,087.63","19,08,362.02",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,20,"5,31,595",502.83,420.56,"25,401.24","25,373.14",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,"53,30,143","2,604.52","2,250.48","1,75,013.99","1,75,519.49",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,29,"43,41,033","4,220.56","3,726.96","2,14,075.74","2,14,199.56",-,-
iv,Multi Asset Allocation Fund,16,"14,15,518","6,775.21",451.03,"42,018.03","39,780.82",-,-
v,Arbitrage Fund,27,"4,51,213","20,691.09","10,515.53","1,09,361.28","1,20,238.45",-,-
vi,Equity Savings Fund,22,"3,75,920","2,014.50",793.70,"21,912.40","21,727.88",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),145,"1,24,45,422","36,808.71","18,158.26","5,87,782.68","5,96,839.35",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,99,015",231.77,130.82,"21,596.71","21,647.05",-,-
ii,Childrens Fund,10,"29,44,907",124.31,57.46,"16,729.63","16,768.17",-,-
,Sub Total - IV (i+ii),36,"57,43,922",356.08,188.28,"38,326.33","38,415.22",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,189,"53,88,470","3,908.53","2,226.16","1,84,028.12","1,83,557.65",-,-
ii,GOLD ETF,13,"48,06,140",305.14,129.85,"23,798.83","24,010.57",-,-
iii,Other ETFs,172,"1,24,62,054","12,251.09","9,009.17","5,60,724.12","5,61,752.52",-,-
iv,Fund of funds investing overseas,51,"14,04,536",265.39,645.26,"22,016.74","22,826.62",-,-
,Sub Total - V (i+ii+iii+iv),425,"2,40,61,200","16,730.14","12,010.44","7,90,567.82","7,92,147.36",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,327","15,64,84,087","8,88,380.17","9,52,262.78","46,29,969.73","47,50,532.45",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,84,"97,531",-,"1,371.12","16,723.47","17,168.29",-,-
ii,Capital Protection Oriented Schemes,-,-,-,-,-,-,-,-
iii,Infrastructure Debt Fund,7,52,-,639.14,"1,568.78","1,563.43",-,-
iv,Other Debt Scheme,1,"2,22,870",20.63,53.29,"5,286.82","5,319.69",-,-
,Sub Total (i+ii+iii+iv),92,"3,20,453",20.63,"2,063.55","23,579.07","24,051.41",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"2,87,282",-,27.71,"3,815.24","3,849.42",-,-
ii,Other Equity Schemes,1,"1,738",-,206.02,114.37,273.00,-,-
,Sub Total (i+ii),20,"2,89,020",-,233.73,"3,929.61","4,122.42",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,112,"6,09,473",20.63,"2,297.28","27,508.68","28,173.83",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,627",0.02,32.36,276.81,308.96,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,627",0.02,32.36,276.81,308.96,-,-
,,,,,,,,,
,Grand Total,"1,451","15,70,96,187","8,88,400.82","9,54,592.41","46,57,755.22","47,79,015.24",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,76,"18,92,068",634.77,913.71,"69,149.58","69,533.67",-,-
